frame,pos_x,pos_y,pos_z,roll,pitch,yaw
0,-0.053017497,1.6312068,-0.1803774,155.79210289093766,8.351502389451987,-3.999556131969667
1,-0.053017497,1.6312068,-0.1803774,155.79210289093766,8.351502389451987,-3.999556131969667
2,-0.053216327,1.6312295,-0.18039167,155.8204180822449,8.39125524837977,-3.990633953217864
3,-0.053343304,1.6312146,-0.1803874,155.82503500125395,8.390612251038524,-3.975078260756717
4,-0.053435974,1.6311505,-0.18027298,155.7881849767582,8.361320646083787,-3.9852545063153046
5,-0.053516313,1.6310958,-0.18012133,155.74489705622867,8.324758777395859,-4.002868514711337
6,-0.053596213,1.6310726,-0.17999648,155.7194714726806,8.292131145213068,-4.014165873014105
7,-0.05365992,1.6310296,-0.17988114,155.69275100914706,8.2575439365987,-4.01880911811177
8,-0.053709432,1.6309478,-0.17976601,155.65272187917043,8.214304544575114,-4.020520207134717
9,-0.05374206,1.6308236,-0.1796077,155.58789441335773,8.16369950469199,-4.0143099181043675
10,-0.05373411,1.6307123,-0.17937388,155.51341364837413,8.101456541776969,-4.020290256809199
11,-0.053751897,1.6307064,-0.17918642,155.47283572409933,8.025303187232268,-4.061524199946343
12,-0.053836256,1.6307606,-0.17912708,155.45075051618343,7.950947514761649,-4.135981503804896
13,-0.05399317,1.6307954,-0.1792967,155.45719614943417,7.917403271230313,-4.188764802895157
14,-0.054130208,1.6307895,-0.17978024,155.49568186134533,7.997334360999716,-4.133370750303335
15,-0.054310404,1.6305876,-0.18031037,155.40795758853645,8.075797259424007,-4.1398427109204405
16,-0.054465506,1.6302866,-0.18078403,155.23175346452692,8.151379385736256,-4.108062079823915
17,-0.054636482,1.6302683,-0.18139233,155.1346505665329,8.25343454674385,-4.020220977392923
18,-0.05485756,1.6304578,-0.18206535,155.0903529732311,8.376813512381602,-3.92345462713885
19,-0.055125162,1.6306796,-0.18268299,155.03200980260755,8.525659070700858,-3.848394844639819
20,-0.05536837,1.6308597,-0.1832986,154.9765537178104,8.696735285377441,-3.7578039686998954
21,-0.055539697,1.6309081,-0.18395308,154.91301886915284,8.829393777066684,-3.671510471051183
22,-0.055606484,1.6307347,-0.18463252,154.80942995275137,8.8762552323122,-3.5897638563837213
23,-0.05560368,1.6304758,-0.18544598,154.72706620165116,8.889486635640925,-3.4659991655653966
24,-0.0555815,1.6302265,-0.18636978,154.65597295352913,8.897602887104755,-3.32601838676872
25,-0.055607226,1.6299976,-0.18739153,154.59833432166238,8.915770510376012,-3.2155015579854447
26,-0.05582324,1.6296476,-0.18834507,154.46405549616634,8.938061163815622,-3.2277715064436334
27,-0.056175478,1.6290698,-0.18916307,154.25311638461062,9.018098009921177,-3.2609711048494385
28,-0.05649964,1.6286249,-0.19027887,154.16258669678385,9.118082639018043,-3.269118047077157
29,-0.056613866,1.6282597,-0.1918278,154.1942403620125,9.194605830376204,-3.2303663722507454
30,-0.056410145,1.6278384,-0.19373941,154.25161829444914,9.25421674958603,-3.063966609129714
31,-0.05600183,1.627297,-0.19574273,154.2226205463988,9.281916073664142,-2.90050174319555
32,-0.05559861,1.6267364,-0.19765157,154.08626519922748,9.277304911952362,-2.875298480471976
33,-0.055300362,1.626271,-0.19947888,153.93071471844448,9.280780665514401,-2.917556555302776
34,-0.055077117,1.6257555,-0.20107971,153.75081102191447,9.331294583551616,-2.9336476623572696
35,-0.05505874,1.6251866,-0.20243648,153.52807703652118,9.406476443178727,-2.9926075539275105
36,-0.05506999,1.6247209,-0.20379013,153.39120632982727,9.525853639409116,-2.982433241674951
37,-0.05496945,1.6240388,-0.20492624,153.16181786098338,9.66392130807348,-2.9220429167024773
38,-0.054786213,1.6231966,-0.20580065,152.83414816031592,9.772786914641946,-2.9702311814447575
39,-0.05441803,1.6223541,-0.20641597,152.48345864932526,9.798366678991291,-3.1652059319536043
40,-0.053838234,1.621632,-0.20683627,152.17376116834495,9.704740786901196,-3.408154230590858
41,-0.05312541,1.6211252,-0.20736739,151.9705407619527,9.489930815447986,-3.62223775441385
42,-0.052327525,1.6207931,-0.20786746,151.84942541917843,9.20033350224109,-3.7663248087311407
43,-0.051638514,1.6205642,-0.20825276,151.7650880630823,8.913061152796592,-3.827331163945721
44,-0.05113198,1.620327,-0.20845485,151.68473840264957,8.711629168318359,-3.7599857064151885
45,-0.0509084,1.6200573,-0.20837982,151.58684229364516,8.632807541217984,-3.64497794127624
46,-0.051001526,1.6197635,-0.20794414,151.46601689823288,8.658607617487576,-3.592506309621506
47,-0.051341955,1.6194545,-0.20720708,151.33899335304096,8.759975704490284,-3.5801624635355895
48,-0.05173779,1.6191621,-0.20633179,151.2487868074911,8.89539009988384,-3.5316840046248843
49,-0.05209245,1.6189914,-0.20543821,151.22442457218526,9.029326296698672,-3.483980886194566
50,-0.05236336,1.6189194,-0.20454146,151.2178809267036,9.114932277408785,-3.465555607947119
51,-0.05252722,1.6189338,-0.20369236,151.22189994712008,9.111003409604226,-3.4736744331666745
52,-0.052566145,1.6190817,-0.20291935,151.25482950245686,9.028696969363585,-3.4662400540604406
53,-0.0525223,1.6193315,-0.2022124,151.32020163390933,8.887950298433372,-3.441147010771402
54,-0.052456502,1.619601,-0.20151404,151.4076554766682,8.738081707585556,-3.3913251641515725
55,-0.05241951,1.6198574,-0.20077646,151.5077034800061,8.605617807505146,-3.3494593932067525
56,-0.05244986,1.6201766,-0.20006843,151.65440197534232,8.520220525554622,-3.3013603695203866
57,-0.052614063,1.6205217,-0.19932373,151.80578990006387,8.518735848396934,-3.253190356512681
58,-0.052910127,1.6209309,-0.19859827,151.98146270586582,8.610278691641835,-3.2172878555417177
59,-0.053298917,1.621342,-0.19790326,152.1449211297141,8.761904470594411,-3.207348175494268
60,-0.053693194,1.6217573,-0.19727014,152.29123792815534,8.926461716638082,-3.191487249657494
61,-0.053965576,1.6221672,-0.1967211,152.43023265290483,9.058007242840379,-3.119030018198285
62,-0.05411706,1.6225386,-0.19627698,152.57688695147831,9.156135493595471,-3.0161875298308973
63,-0.054272212,1.6229883,-0.19602218,152.74624808079906,9.254648832566374,-2.957218512727372
64,-0.05447496,1.6234647,-0.19596013,152.91855696969316,9.400842827306084,-2.8760555728397654
65,-0.054424077,1.6234787,-0.19545029,152.8102577184826,9.580605679629056,-2.7330704233872942
66,-0.054190747,1.6233776,-0.19451688,152.51044135188366,9.625257193057656,-2.8274012334599576
67,-0.05369314,1.6237991,-0.19373067,152.37245643808384,9.509535475953227,-3.0089176135930633
68,-0.053023763,1.62441,-0.19313718,152.32275607872054,9.255901351851277,-3.1497432189302463
69,-0.05253899,1.6250752,-0.19295579,152.39164471214949,9.0260573531332,-3.198877490163314
70,-0.052319914,1.6253414,-0.192947,152.41115187519804,8.920967531963202,-3.123094249145053
71,-0.05241201,1.625182,-0.19293725,152.30202278785953,8.907951588097621,-3.0892456932617796
72,-0.05269687,1.624712,-0.19286057,152.07779216959116,8.95739509802394,-3.1136064544885738
73,-0.052912924,1.6240805,-0.19268736,151.78078543628112,8.997390931874264,-3.1373106247183116
74,-0.052942928,1.6235977,-0.19254857,151.55928965592858,8.978894461215114,-3.1306318761821528
75,-0.05291636,1.6231035,-0.19219843,151.34127908517743,8.890451193651542,-3.156870489772213
76,-0.052934274,1.6225786,-0.19155464,151.13507068142954,8.804574408443887,-3.171482694384857
77,-0.053122625,1.6220616,-0.19061285,150.96077675225598,8.79144869838798,-3.174054689479594
78,-0.053509355,1.6215022,-0.18934463,150.78614630669227,8.860388613461891,-3.2002600601450673
79,-0.05385268,1.6209335,-0.1877222,150.58327708448832,8.922757665615597,-3.264442163920389
80,-0.054069858,1.6203827,-0.18595947,150.39799872887664,8.918697888003086,-3.3394633233733653
81,-0.054195914,1.6198056,-0.18408693,150.21491408656138,8.874859808071324,-3.3934921274643637
82,-0.054318823,1.6192598,-0.18212754,150.04820529969342,8.812118547435725,-3.4692720677503663
83,-0.05445522,1.6188707,-0.18017252,149.94759494069692,8.753490114708484,-3.542170793815523
84,-0.05457882,1.6186825,-0.17828815,149.92185753949354,8.699268527730023,-3.5824437534879428
85,-0.054725014,1.6186697,-0.1764994,149.95235333519076,8.646224230392576,-3.6050755637135055
86,-0.054987513,1.6187992,-0.17479342,150.01025374263543,8.627237201458598,-3.6337937747888085
87,-0.055368032,1.6190464,-0.17317155,150.10130025851552,8.692537104634678,-3.6321039625038067
88,-0.05574115,1.619302,-0.17152502,150.1699716356828,8.747194635023837,-3.644890184394744
89,-0.056085482,1.6196218,-0.17000744,150.28482370387732,8.751667318820319,-3.6777324929554314
