frame,leftArm_x,leftArm_y,leftArm_z,leftForearm_x,leftForearm_y,leftForearm_z,leftHand_x,leftHand_y,leftHand_z,leftIndexFingerIntermediateBase_x,leftIndexFingerIntermediateBase_y,leftIndexFingerIntermediateBase_z,leftIndexFingerIntermediateTip_x,leftIndexFingerIntermediateTip_y,leftIndexFingerIntermediateTip_z,leftIndexFingerKnuckle_x,leftIndexFingerKnuckle_y,leftIndexFingerKnuckle_z,leftIndexFingerMetacarpal_x,leftIndexFingerMetacarpal_y,leftIndexFingerMetacarpal_z,leftIndexFingerTip_x,leftIndexFingerTip_y,leftIndexFingerTip_z,leftLittleFingerIntermediateBase_x,leftLittleFingerIntermediateBase_y,leftLittleFingerIntermediateBase_z,leftLittleFingerIntermediateTip_x,leftLittleFingerIntermediateTip_y,leftLittleFingerIntermediateTip_z,leftLittleFingerKnuckle_x,leftLittleFingerKnuckle_y,leftLittleFingerKnuckle_z,leftLittleFingerMetacarpal_x,leftLittleFingerMetacarpal_y,leftLittleFingerMetacarpal_z,leftLittleFingerTip_x,leftLittleFingerTip_y,leftLittleFingerTip_z,leftMiddleFingerIntermediateBase_x,leftMiddleFingerIntermediateBase_y,leftMiddleFingerIntermediateBase_z,leftMiddleFingerIntermediateTip_x,leftMiddleFingerIntermediateTip_y,leftMiddleFingerIntermediateTip_z,leftMiddleFingerKnuckle_x,leftMiddleFingerKnuckle_y,leftMiddleFingerKnuckle_z,leftMiddleFingerMetacarpal_x,leftMiddleFingerMetacarpal_y,leftMiddleFingerMetacarpal_z,leftMiddleFingerTip_x,leftMiddleFingerTip_y,leftMiddleFingerTip_z,leftRingFingerIntermediateBase_x,leftRingFingerIntermediateBase_y,leftRingFingerIntermediateBase_z,leftRingFingerIntermediateTip_x,leftRingFingerIntermediateTip_y,leftRingFingerIntermediateTip_z,leftRingFingerKnuckle_x,leftRingFingerKnuckle_y,leftRingFingerKnuckle_z,leftRingFingerMetacarpal_x,leftRingFingerMetacarpal_y,leftRingFingerMetacarpal_z,leftRingFingerTip_x,leftRingFingerTip_y,leftRingFingerTip_z,leftShoulder_x,leftShoulder_y,leftShoulder_z,leftThumbIntermediateBase_x,leftThumbIntermediateBase_y,leftThumbIntermediateBase_z,leftThumbIntermediateTip_x,leftThumbIntermediateTip_y,leftThumbIntermediateTip_z,leftThumbKnuckle_x,leftThumbKnuckle_y,leftThumbKnuckle_z,leftThumbTip_x,leftThumbTip_y,leftThumbTip_z,rightArm_x,rightArm_y,rightArm_z,rightForearm_x,rightForearm_y,rightForearm_z,rightHand_x,rightHand_y,rightHand_z,rightIndexFingerIntermediateBase_x,rightIndexFingerIntermediateBase_y,rightIndexFingerIntermediateBase_z,rightIndexFingerIntermediateTip_x,rightIndexFingerIntermediateTip_y,rightIndexFingerIntermediateTip_z,rightIndexFingerKnuckle_x,rightIndexFingerKnuckle_y,rightIndexFingerKnuckle_z,rightIndexFingerMetacarpal_x,rightIndexFingerMetacarpal_y,rightIndexFingerMetacarpal_z,rightIndexFingerTip_x,rightIndexFingerTip_y,rightIndexFingerTip_z,rightLittleFingerIntermediateBase_x,rightLittleFingerIntermediateBase_y,rightLittleFingerIntermediateBase_z,rightLittleFingerIntermediateTip_x,rightLittleFingerIntermediateTip_y,rightLittleFingerIntermediateTip_z,rightLittleFingerKnuckle_x,rightLittleFingerKnuckle_y,rightLittleFingerKnuckle_z,rightLittleFingerMetacarpal_x,rightLittleFingerMetacarpal_y,rightLittleFingerMetacarpal_z,rightLittleFingerTip_x,rightLittleFingerTip_y,rightLittleFingerTip_z,rightMiddleFingerIntermediateBase_x,rightMiddleFingerIntermediateBase_y,rightMiddleFingerIntermediateBase_z,rightMiddleFingerIntermediateTip_x,rightMiddleFingerIntermediateTip_y,rightMiddleFingerIntermediateTip_z,rightMiddleFingerKnuckle_x,rightMiddleFingerKnuckle_y,rightMiddleFingerKnuckle_z,rightMiddleFingerMetacarpal_x,rightMiddleFingerMetacarpal_y,rightMiddleFingerMetacarpal_z,rightMiddleFingerTip_x,rightMiddleFingerTip_y,rightMiddleFingerTip_z,rightRingFingerIntermediateBase_x,rightRingFingerIntermediateBase_y,rightRingFingerIntermediateBase_z,rightRingFingerIntermediateTip_x,rightRingFingerIntermediateTip_y,rightRingFingerIntermediateTip_z,rightRingFingerKnuckle_x,rightRingFingerKnuckle_y,rightRingFingerKnuckle_z,rightRingFingerMetacarpal_x,rightRingFingerMetacarpal_y,rightRingFingerMetacarpal_z,rightRingFingerTip_x,rightRingFingerTip_y,rightRingFingerTip_z,rightShoulder_x,rightShoulder_y,rightShoulder_z,rightThumbIntermediateBase_x,rightThumbIntermediateBase_y,rightThumbIntermediateBase_z,rightThumbIntermediateTip_x,rightThumbIntermediateTip_y,rightThumbIntermediateTip_z,rightThumbKnuckle_x,rightThumbKnuckle_y,rightThumbKnuckle_z,rightThumbTip_x,rightThumbTip_y,rightThumbTip_z
0,-0.19865753,1.4166622,0.027288081,-0.30185586,1.1848618,-0.1418661,-0.13594955,1.2658623,-0.3320384,-0.08560509,1.3050444,-0.43195873,-0.06657941,1.2990917,-0.43852285,-0.110736534,1.3078971,-0.40178138,-0.12665865,1.2893072,-0.34805986,-0.048654452,1.2928089,-0.44178313,-0.107472755,1.2569968,-0.4363756,-0.09126458,1.2519168,-0.43750364,-0.12375407,1.257617,-0.40968516,-0.1336398,1.2521415,-0.36401585,-0.076819174,1.245658,-0.42926064,-0.087318785,1.2871972,-0.4404248,-0.0640479,1.2790924,-0.43598607,-0.116019554,1.2909319,-0.40610713,-0.12908791,1.27963,-0.3540544,-0.048881415,1.2726339,-0.42481408,-0.097187944,1.2744912,-0.44414625,-0.075360015,1.2659664,-0.44260618,-0.11895109,1.2752653,-0.41194344,-0.13071175,1.2678435,-0.35952356,-0.060397293,1.2580426,-0.4330639,-0.058906898,1.4791952,-0.016270913,-0.087485485,1.3048729,-0.37311476,-0.07493926,1.3088913,-0.3962743,-0.11641498,1.2879384,-0.34472376,-0.06798801,1.302959,-0.4167234,0.15102437,1.4107752,0.02533098,0.27407646,1.1839454,-0.13715282,0.123818755,1.2657135,-0.33960813,0.070693135,1.3047014,-0.43843424,0.052344635,1.2978214,-0.44595072,0.0919858,1.3091142,-0.40560818,0.11253212,1.2894034,-0.35389325,0.034847192,1.290771,-0.44989255,0.08921301,1.2594874,-0.44283918,0.07531623,1.2565981,-0.45223683,0.105921455,1.2598072,-0.41640866,0.11945337,1.253148,-0.37184483,0.05980863,1.2527174,-0.4599985,0.071143165,1.2901679,-0.44718385,0.04805693,1.2815636,-0.45164678,0.097259104,1.2929871,-0.41077784,0.11479888,1.2800553,-0.36044762,0.029457584,1.2745072,-0.45255116,0.0836316,1.2780997,-0.45270053,0.06260367,1.2721388,-0.46129102,0.1005828,1.2766832,-0.41774476,0.11637371,1.268552,-0.36650252,0.04463755,1.2662344,-0.46577227,0.012717605,1.4774522,-0.016674528,0.068420954,1.286534,-0.37737086,0.05220488,1.2801096,-0.3975125,0.10263298,1.2875414,-0.3498343,0.037586804,1.2766255,-0.41412127
1,-0.19865753,1.4166622,0.027288081,-0.30185586,1.1848618,-0.1418661,-0.13594955,1.2658623,-0.3320384,-0.08560509,1.3050444,-0.43195873,-0.06657941,1.2990917,-0.43852285,-0.110736534,1.3078971,-0.40178138,-0.12665865,1.2893072,-0.34805986,-0.048654452,1.2928089,-0.44178313,-0.107472755,1.2569968,-0.4363756,-0.09126458,1.2519168,-0.43750364,-0.12375407,1.257617,-0.40968516,-0.1336398,1.2521415,-0.36401585,-0.076819174,1.245658,-0.42926064,-0.087318785,1.2871972,-0.4404248,-0.0640479,1.2790924,-0.43598607,-0.116019554,1.2909319,-0.40610713,-0.12908791,1.27963,-0.3540544,-0.048881415,1.2726339,-0.42481408,-0.097187944,1.2744912,-0.44414625,-0.075360015,1.2659664,-0.44260618,-0.11895109,1.2752653,-0.41194344,-0.13071175,1.2678435,-0.35952356,-0.060397293,1.2580426,-0.4330639,-0.058906898,1.4791952,-0.016270913,-0.087485485,1.3048729,-0.37311476,-0.07493926,1.3088913,-0.3962743,-0.11641498,1.2879384,-0.34472376,-0.06798801,1.302959,-0.4167234,0.15102437,1.4107752,0.02533098,0.27407646,1.1839454,-0.13715282,0.123818755,1.2657135,-0.33960813,0.070693135,1.3047014,-0.43843424,0.052344635,1.2978214,-0.44595072,0.0919858,1.3091142,-0.40560818,0.11253212,1.2894034,-0.35389325,0.034847192,1.290771,-0.44989255,0.08921301,1.2594874,-0.44283918,0.07531623,1.2565981,-0.45223683,0.105921455,1.2598072,-0.41640866,0.11945337,1.253148,-0.37184483,0.05980863,1.2527174,-0.4599985,0.071143165,1.2901679,-0.44718385,0.04805693,1.2815636,-0.45164678,0.097259104,1.2929871,-0.41077784,0.11479888,1.2800553,-0.36044762,0.029457584,1.2745072,-0.45255116,0.0836316,1.2780997,-0.45270053,0.06260367,1.2721388,-0.46129102,0.1005828,1.2766832,-0.41774476,0.11637371,1.268552,-0.36650252,0.04463755,1.2662344,-0.46577227,0.012717605,1.4774522,-0.016674528,0.068420954,1.286534,-0.37737086,0.05220488,1.2801096,-0.3975125,0.10263298,1.2875414,-0.3498343,0.037586804,1.2766255,-0.41412127
2,-0.19854537,1.4165751,0.027352912,-0.30178875,1.1847867,-0.1417902,-0.13593757,1.2659392,-0.3319456,-0.08553014,1.30506,-0.43184018,-0.06650089,1.2990805,-0.43836945,-0.11068128,1.3079526,-0.4016831,-0.12662445,1.2893785,-0.3479624,-0.048577327,1.2927767,-0.44159678,-0.10737701,1.2570465,-0.43623406,-0.091168806,1.2519578,-0.43732157,-0.12373676,1.2576884,-0.40959215,-0.13363415,1.2522206,-0.36392444,-0.07673653,1.2456884,-0.42906365,-0.087278046,1.2872276,-0.44032666,-0.064003065,1.2791181,-0.43591818,-0.11597728,1.2909906,-0.40601084,-0.12906085,1.279704,-0.35395864,-0.048805412,1.2726462,-0.4247964,-0.09705068,1.274509,-0.4439779,-0.07523096,1.2659692,-0.44240558,-0.118918546,1.2753333,-0.41184735,-0.13069367,1.2679197,-0.35942963,-0.060266763,1.2580276,-0.43288043,-0.05883062,1.4791442,-0.016269216,-0.08742377,1.3048806,-0.37301844,-0.07487515,1.3088682,-0.39618197,-0.11638247,1.2880006,-0.34462485,-0.067937374,1.302912,-0.41662866,0.15109806,1.4107641,0.02540777,0.27408236,1.1840007,-0.13721968,0.123850144,1.2656927,-0.33972442,0.0736996,1.3065811,-0.44046843,0.055907622,1.3005444,-0.4498227,0.092049554,1.3091184,-0.4057231,0.112580635,1.2893916,-0.3540082,0.03862978,1.2941753,-0.45550764,0.08916866,1.259558,-0.44291282,0.07526914,1.2567121,-0.45231965,0.10593954,1.259813,-0.41652116,0.11947194,1.253131,-0.37196088,0.05977133,1.2528856,-0.4601276,0.07281403,1.2906015,-0.44843867,0.049932387,1.2828,-0.45495725,0.09731022,1.292986,-0.41089353,0.1148395,1.2800418,-0.3605629,0.031186217,1.2764305,-0.45709252,0.08353717,1.2781112,-0.45275092,0.062498014,1.2721634,-0.46132284,0.10061647,1.2766892,-0.4178578,0.116404794,1.2685374,-0.36661807,0.044529248,1.2662818,-0.46582356,0.012794153,1.4774094,-0.01665716,0.068451285,1.2865382,-0.37746385,0.05111775,1.281109,-0.39695716,0.102680445,1.2875372,-0.34994832,0.035638176,1.2784815,-0.4129308
3,-0.19844541,1.4165078,0.027561167,-0.30176407,1.1846933,-0.14150034,-0.13610446,1.2659223,-0.33179024,-0.08571287,1.3049614,-0.43171126,-0.066682644,1.2989466,-0.4382052,-0.11085099,1.3078997,-0.40154767,-0.1267785,1.2893522,-0.3478131,-0.04876122,1.292611,-0.44138175,-0.10754892,1.2569906,-0.4360579,-0.09134189,1.2519073,-0.4371879,-0.12395205,1.2576534,-0.40944317,-0.13382673,1.252199,-0.36376897,-0.07681938,1.2456317,-0.42909464,-0.08750561,1.2871512,-0.44021738,-0.06420316,1.2790474,-0.43594548,-0.11616388,1.2909418,-0.40587035,-0.12922575,1.2796793,-0.35380748,-0.048886213,1.2725587,-0.42499855,-0.097194575,1.2744166,-0.4437919,-0.07534575,1.2659131,-0.44244224,-0.11912068,1.2752928,-0.41170245,-0.13087097,1.2678959,-0.35927677,-0.060200322,1.2579653,-0.43321323,-0.05880565,1.4791213,-0.016236972,-0.08757236,1.3047932,-0.37289965,-0.0750382,1.3087466,-0.39607686,-0.116536215,1.287966,-0.34447992,-0.06845378,1.3022768,-0.41648436,0.1511337,1.410823,0.02551564,0.27411634,1.1841409,-0.13722634,0.12386325,1.265705,-0.3397672,0.07564581,1.3073764,-0.441764,0.058251128,1.301976,-0.45219284,0.092043914,1.3087537,-0.40599245,0.112603776,1.2893351,-0.35417247,0.041146696,1.2961509,-0.45889467,0.08883171,1.2593559,-0.44275337,0.07490364,1.2565403,-0.45212707,0.10573225,1.2595857,-0.41644436,0.119401485,1.2529551,-0.37191817,0.059387688,1.2527529,-0.45991796,0.07357742,1.2908026,-0.44916105,0.050553195,1.2838128,-0.45608583,0.097271405,1.2925794,-0.4110714,0.11483473,1.279942,-0.36067468,0.031640083,1.2779409,-0.45817444,0.08320431,1.277725,-0.4526976,0.06213871,1.2717668,-0.46119717,0.1004661,1.276402,-0.4178905,0.11636963,1.2683985,-0.36666298,0.044156075,1.2658917,-0.4656506,0.012819413,1.4773983,-0.016625987,0.06819943,1.286159,-0.37722978,0.049761638,1.2814857,-0.39588785,0.10270862,1.2875214,-0.35008204,0.03327471,1.2797762,-0.41095224
4,-0.19840603,1.4164648,0.027689362,-0.30170885,1.1846479,-0.14137825,-0.1361628,1.2659669,-0.3317285,-0.08572884,1.3049557,-0.43163905,-0.06669676,1.2989079,-0.43809673,-0.110867694,1.3079283,-0.40147945,-0.12681372,1.2893907,-0.347747,-0.048778128,1.2925423,-0.4412287,-0.10756702,1.2570312,-0.4359706,-0.0913634,1.2519616,-0.43720573,-0.12401116,1.2577004,-0.4093814,-0.13389249,1.2522458,-0.36370865,-0.07671561,1.2456764,-0.4293491,-0.08821269,1.2874258,-0.44072974,-0.064676635,1.2795683,-0.43737707,-0.1161953,1.2909751,-0.40580466,-0.12926865,1.2797207,-0.35374293,-0.04883133,1.2731928,-0.42713863,-0.09718128,1.274425,-0.4436873,-0.075248025,1.2660546,-0.44307965,-0.11916453,1.2753348,-0.41163793,-0.1309235,1.2679394,-0.35921398,-0.05972831,1.2581116,-0.43449053,-0.05882592,1.4791296,-0.016225666,-0.08758779,1.3047811,-0.37283453,-0.07505015,1.3087076,-0.39601445,-0.11657318,1.2879949,-0.34441248,-0.06845551,1.3022434,-0.41642037,0.15110013,1.4108709,0.025638303,0.27408752,1.1842762,-0.13722178,0.123887464,1.2657611,-0.33983377,0.07694054,1.3079938,-0.44266492,0.059830885,1.3030887,-0.45378688,0.09202187,1.3084075,-0.40629485,0.11264526,1.2893132,-0.35437977,0.042858787,1.297676,-0.46113932,0.08861307,1.2588199,-0.44268808,0.07467843,1.255998,-0.4520501,0.10559028,1.2591524,-0.4164296,0.11933745,1.2527983,-0.37188712,0.05916217,1.2522234,-0.45984656,0.07383965,1.290441,-0.4495633,0.050866418,1.2834901,-0.45669347,0.09720833,1.2921875,-0.4112718,0.11484517,1.279871,-0.36082134,0.03196286,1.2776518,-0.45895568,0.08294702,1.2770848,-0.45272368,0.061856408,1.2711164,-0.46115366,0.10035485,1.2759656,-0.41798222,0.11634586,1.2682835,-0.36673278,0.04385697,1.2652577,-0.46556064,0.012799448,1.4774153,-0.016596805,0.0681751,1.2860576,-0.3773088,0.049500816,1.2813518,-0.3957219,0.10275471,1.287547,-0.3502575,0.03269321,1.279996,-0.41046447
5,-0.19842333,1.4164546,0.027739955,-0.30173644,1.1846337,-0.14131615,-0.13625184,1.265929,-0.3317299,-0.085756585,1.3048402,-0.431635,-0.0667249,1.2987554,-0.43805906,-0.11089598,1.3078552,-0.40148005,-0.12687244,1.2893404,-0.3477488,-0.048811134,1.2923567,-0.44115135,-0.107603826,1.2569644,-0.43594047,-0.09140438,1.2518859,-0.43719378,-0.12409094,1.2576468,-0.40937817,-0.13398701,1.2522011,-0.36370754,-0.07674888,1.2455859,-0.4293635,-0.088918194,1.2874254,-0.44125465,-0.06529261,1.2796303,-0.43842757,-0.11624169,1.2909071,-0.40580484,-0.12933613,1.2796723,-0.35374415,-0.049205676,1.2732897,-0.4285506,-0.09718216,1.2743227,-0.44364274,-0.07525453,1.265936,-0.44305888,-0.11922527,1.2752756,-0.41163573,-0.13100222,1.2678921,-0.3592141,-0.059731916,1.2579763,-0.43449047,-0.058879882,1.4791588,-0.01623493,-0.08761804,1.3046646,-0.37283415,-0.07506435,1.3085667,-0.3960095,-0.116634406,1.287934,-0.34441102,-0.06825349,1.3024269,-0.4164446,0.15102808,1.410924,0.025749726,0.27403864,1.1843941,-0.13718319,0.12390458,1.2657676,-0.339889,0.07801208,1.3081443,-0.44328564,0.061165005,1.3034519,-0.45488983,0.092017494,1.3081814,-0.40648553,0.11267279,1.2892755,-0.3545141,0.04433206,1.2982148,-0.4626765,0.08849628,1.2585148,-0.44266763,0.07456541,1.2557037,-0.45203844,0.10551869,1.2588853,-0.4164389,0.119306654,1.252686,-0.3718872,0.059054308,1.2519522,-0.45985636,0.07418834,1.2900802,-0.4499169,0.05126899,1.2831659,-0.4572532,0.0971821,1.2919366,-0.4114042,0.114855595,1.2798061,-0.36092147,0.03237228,1.2773708,-0.45967767,0.08279306,1.2767007,-0.45274642,0.06169162,1.2707303,-0.46114787,0.10030087,1.275695,-0.41805175,0.1163374,1.2681943,-0.3667896,0.043682907,1.2648828,-0.46553186,0.012745743,1.4774493,-0.016575309,0.06816321,1.2859727,-0.37736818,0.049411666,1.2812462,-0.3956973,0.10278466,1.2875361,-0.35037464,0.03238622,1.2803247,-0.41022187
6,-0.19848981,1.4164469,0.027750896,-0.30182555,1.1846097,-0.14126891,-0.13631456,1.2659184,-0.3316541,-0.085744016,1.3047955,-0.4315291,-0.06670822,1.298685,-0.43791655,-0.110898286,1.3078356,-0.4013891,-0.12691276,1.2893242,-0.34766793,-0.048795898,1.2922632,-0.44096878,-0.10759133,1.2569532,-0.4358309,-0.091392875,1.251872,-0.43708572,-0.124122694,1.2576371,-0.40929615,-0.13404311,1.2521898,-0.363631,-0.076742865,1.2455624,-0.42925277,-0.088924855,1.2873985,-0.4411627,-0.065297,1.2795935,-0.43838197,-0.116253905,1.29089,-0.40571812,-0.12937969,1.2796577,-0.35366473,-0.049206715,1.2732409,-0.42851815,-0.09713597,1.2742859,-0.44351164,-0.07521242,1.2658887,-0.44292295,-0.11924398,1.2752657,-0.41155022,-0.13105057,1.2678788,-0.35913575,-0.059712082,1.2579142,-0.4343281,-0.058964368,1.4791801,-0.01624009,-0.08762579,1.3046111,-0.3727307,-0.07504626,1.3085063,-0.39589322,-0.11667721,1.2879112,-0.34432536,-0.06759552,1.3033303,-0.41637182,0.1509175,1.4109503,0.025875315,0.27393532,1.1844841,-0.13714054,0.1239039,1.2657641,-0.33995977,0.07810991,1.3079315,-0.44346157,0.061266657,1.3031646,-0.45504087,0.092012405,1.3080657,-0.40662274,0.11267986,1.2892523,-0.3546226,0.044422552,1.2978481,-0.46274927,0.08843817,1.258395,-0.44270384,0.0745152,1.2556081,-0.45209366,0.10548261,1.258757,-0.4164893,0.11928592,1.2526278,-0.37193266,0.059008643,1.2518874,-0.4599353,0.07417376,1.2898868,-0.45002297,0.051246494,1.2829766,-0.4573383,0.09716743,1.2918096,-0.4115135,0.114854716,1.2797703,-0.36101383,0.032344613,1.2771846,-0.45972976,0.08269501,1.2765201,-0.4527909,0.061588243,1.270556,-0.46118337,0.10027291,1.2755647,-0.41813025,0.116327584,1.268147,-0.36686173,0.043572787,1.2647177,-0.465552,0.012661451,1.4774709,-0.016543,0.06814693,1.2859354,-0.37743732,0.0493779,1.2811853,-0.39574242,0.102792375,1.287526,-0.35047618,0.032341354,1.2802469,-0.41025284
7,-0.1985849,1.4164324,0.027740473,-0.301951,1.184615,-0.14128786,-0.13638194,1.2659277,-0.33162075,-0.085742444,1.3047687,-0.43146634,-0.06670374,1.2986336,-0.43782145,-0.11091166,1.307837,-0.40134168,-0.12695982,1.2893287,-0.34762952,-0.04879314,1.2921916,-0.44084117,-0.10758945,1.2569627,-0.43576512,-0.09139129,1.2518775,-0.43700808,-0.12416441,1.2576493,-0.4092577,-0.13410586,1.2521994,-0.36359745,-0.0767609,1.2455621,-0.4291433,-0.0889374,1.2873858,-0.4411099,-0.06531464,1.2795664,-0.43832666,-0.11627723,1.2908926,-0.40567514,-0.12943009,1.2796642,-0.3536278,-0.049251784,1.2732065,-0.42842296,-0.09709596,1.274266,-0.4434206,-0.07517936,1.2658535,-0.4427936,-0.119273484,1.2752767,-0.41150835,-0.1311058,1.2678865,-0.35910016,-0.059718907,1.257867,-0.4341382,-0.059056897,1.4791915,-0.01620517,-0.08764085,1.3045794,-0.37267098,-0.07503778,1.3084686,-0.39582166,-0.11672645,1.2879095,-0.3442829,-0.06750247,1.3036735,-0.41636193,0.15081158,1.4109372,0.025939895,0.27384213,1.1845204,-0.13713475,0.12387155,1.265755,-0.34001705,0.07803943,1.3078319,-0.44353864,0.061150365,1.3030353,-0.45503867,0.091964036,1.3079973,-0.40670827,0.11265085,1.2892334,-0.35469797,0.044259556,1.2976829,-0.4626189,0.088337004,1.2583491,-0.44272655,0.0744091,1.2555892,-0.45211703,0.10541019,1.2586819,-0.41653034,0.11923252,1.2525889,-0.37197462,0.05889232,1.2518973,-0.45995197,0.07411794,1.2897807,-0.4500932,0.051057022,1.283026,-0.45712838,0.0971115,1.2917342,-0.4115852,0.114818476,1.279744,-0.36108077,0.03210996,1.2772188,-0.45908615,0.08256018,1.2764251,-0.4528119,0.06144417,1.2704707,-0.46118802,0.1002058,1.2754898,-0.41818514,0.116283424,1.2681143,-0.36691776,0.043420073,1.264641,-0.46553233,0.012568953,1.4774806,-0.016486239,0.06808911,1.2859297,-0.37746793,0.04930384,1.2811635,-0.3957522,0.10276458,1.2875156,-0.3505451,0.032257725,1.2802091,-0.41025037
8,-0.19868995,1.4164197,0.027773488,-0.30206698,1.1846136,-0.14126371,-0.13644628,1.2659591,-0.33153772,-0.085747175,1.3047706,-0.431362,-0.06670441,1.2986134,-0.43768355,-0.110926874,1.3078586,-0.40124813,-0.12700455,1.2893546,-0.3475433,-0.048794765,1.2921523,-0.44066778,-0.107597545,1.2569907,-0.43565556,-0.09140157,1.2519009,-0.4369082,-0.12420674,1.2576798,-0.4091696,-0.13416724,1.2522295,-0.36351356,-0.07676289,1.2455757,-0.42906672,-0.08895853,1.2873988,-0.44101557,-0.06533529,1.2795663,-0.4382731,-0.11630252,1.290915,-0.40558496,-0.12947851,1.2796913,-0.35354242,-0.04925317,1.2731922,-0.4284099,-0.097069554,1.2742683,-0.4432895,-0.075157546,1.2658434,-0.44266832,-0.11930456,1.2753066,-0.41141817,-0.13115937,1.2679147,-0.35901532,-0.05969241,1.257844,-0.43403322,-0.059166435,1.4792031,-0.016151873,-0.0876576,1.3045689,-0.37256804,-0.07503276,1.3084499,-0.39570826,-0.1167732,1.2879292,-0.3441931,-0.06748284,1.3036523,-0.4162426,0.15068813,1.4109268,0.026029112,0.2737633,1.1845632,-0.13708581,0.12388057,1.2657678,-0.34004503,0.07802347,1.3077712,-0.44358328,0.061094165,1.3029426,-0.45501056,0.091967635,1.3079649,-0.40676045,0.11266197,1.2892387,-0.35473964,0.04416366,1.297553,-0.46247488,0.08831093,1.2583495,-0.44273353,0.07437908,1.2556149,-0.45212552,0.105404615,1.258648,-0.4165503,0.11923278,1.2525811,-0.37199283,0.058853902,1.2519481,-0.45995563,0.07413324,1.289728,-0.45014283,0.05090317,1.2831346,-0.4567621,0.09711292,1.2916976,-0.41162738,0.11482643,1.2797445,-0.3611164,0.031911407,1.2773228,-0.4582054,0.082500376,1.2763819,-0.45281342,0.061377883,1.2704352,-0.4611788,0.10020213,1.2754555,-0.41821513,0.11628787,1.2681106,-0.3669459,0.04334757,1.2646116,-0.46550524,0.012459437,1.4774898,-0.01641164,0.06808017,1.2859472,-0.37748054,0.04929842,1.2811289,-0.39575475,0.102776125,1.2875258,-0.35058373,0.032252062,1.2801373,-0.4102501
9,-0.19881715,1.4164273,0.027784813,-0.30217347,1.1846169,-0.14125931,-0.13652214,1.2659518,-0.33151123,-0.08577299,1.3046882,-0.43133324,-0.06672779,1.2985057,-0.4376225,-0.11096239,1.3078121,-0.40123117,-0.12706196,1.289335,-0.34752363,-0.048820138,1.2920245,-0.4405752,-0.1076353,1.2569371,-0.43560374,-0.09144127,1.2518362,-0.43683565,-0.12427505,1.2576421,-0.40913743,-0.13424774,1.2522092,-0.36348194,-0.07682866,1.2455038,-0.42895147,-0.08899738,1.2873254,-0.44098532,-0.065380126,1.2794788,-0.43823183,-0.11635073,1.2908673,-0.40556446,-0.12954167,1.2796714,-0.3535197,-0.049315955,1.2730985,-0.4283434,-0.09706742,1.2741868,-0.4432205,-0.075164855,1.2657412,-0.4425494,-0.11936035,1.2752664,-0.41139105,-0.13122977,1.267894,-0.35898873,-0.059737854,1.2577307,-0.43385652,-0.05929679,1.47924,-0.016108682,-0.08768823,1.3044975,-0.37254432,-0.07504801,1.3083571,-0.39567968,-0.11683209,1.2879038,-0.34417138,-0.06748706,1.3035551,-0.41620895,0.15054637,1.4109482,0.026106166,0.2736641,1.1846402,-0.1370537,0.123877816,1.2657715,-0.3401133,0.07800333,1.3076954,-0.44367293,0.06103775,1.302831,-0.45503104,0.091964565,1.3079221,-0.40685672,0.112659164,1.2892331,-0.35482258,0.04407197,1.2974012,-0.46238533,0.088303044,1.2583369,-0.44279248,0.07437183,1.2556229,-0.45219135,0.10540645,1.2586056,-0.41661528,0.119231984,1.2525654,-0.37205338,0.058843154,1.2519761,-0.4600239,0.07414976,1.289661,-0.45023844,0.050890874,1.2830267,-0.45671412,0.09711314,1.2916504,-0.41171432,0.11482424,1.2797352,-0.36119357,0.03190257,1.277163,-0.45798278,0.0824536,1.2763255,-0.4528647,0.06132656,1.2703799,-0.46121928,0.10020236,1.275412,-0.4182901,0.11628633,1.2680979,-0.36701593,0.043291546,1.2645562,-0.46552604,0.012329121,1.4775254,-0.016349368,0.06806278,1.2859442,-0.37754428,0.04927231,1.281118,-0.39580747,0.10277318,1.2875224,-0.35066614,0.03221738,1.2801307,-0.41029304
