frame,leftArm_x,leftArm_y,leftArm_z,leftForearm_x,leftForearm_y,leftForearm_z,leftHand_x,leftHand_y,leftHand_z,leftIndexFingerIntermediateBase_x,leftIndexFingerIntermediateBase_y,leftIndexFingerIntermediateBase_z,leftIndexFingerIntermediateTip_x,leftIndexFingerIntermediateTip_y,leftIndexFingerIntermediateTip_z,leftIndexFingerKnuckle_x,leftIndexFingerKnuckle_y,leftIndexFingerKnuckle_z,leftIndexFingerMetacarpal_x,leftIndexFingerMetacarpal_y,leftIndexFingerMetacarpal_z,leftIndexFingerTip_x,leftIndexFingerTip_y,leftIndexFingerTip_z,leftLittleFingerIntermediateBase_x,leftLittleFingerIntermediateBase_y,leftLittleFingerIntermediateBase_z,leftLittleFingerIntermediateTip_x,leftLittleFingerIntermediateTip_y,leftLittleFingerIntermediateTip_z,leftLittleFingerKnuckle_x,leftLittleFingerKnuckle_y,leftLittleFingerKnuckle_z,leftLittleFingerMetacarpal_x,leftLittleFingerMetacarpal_y,leftLittleFingerMetacarpal_z,leftLittleFingerTip_x,leftLittleFingerTip_y,leftLittleFingerTip_z,leftMiddleFingerIntermediateBase_x,leftMiddleFingerIntermediateBase_y,leftMiddleFingerIntermediateBase_z,leftMiddleFingerIntermediateTip_x,leftMiddleFingerIntermediateTip_y,leftMiddleFingerIntermediateTip_z,leftMiddleFingerKnuckle_x,leftMiddleFingerKnuckle_y,leftMiddleFingerKnuckle_z,leftMiddleFingerMetacarpal_x,leftMiddleFingerMetacarpal_y,leftMiddleFingerMetacarpal_z,leftMiddleFingerTip_x,leftMiddleFingerTip_y,leftMiddleFingerTip_z,leftRingFingerIntermediateBase_x,leftRingFingerIntermediateBase_y,leftRingFingerIntermediateBase_z,leftRingFingerIntermediateTip_x,leftRingFingerIntermediateTip_y,leftRingFingerIntermediateTip_z,leftRingFingerKnuckle_x,leftRingFingerKnuckle_y,leftRingFingerKnuckle_z,leftRingFingerMetacarpal_x,leftRingFingerMetacarpal_y,leftRingFingerMetacarpal_z,leftRingFingerTip_x,leftRingFingerTip_y,leftRingFingerTip_z,leftShoulder_x,leftShoulder_y,leftShoulder_z,leftThumbIntermediateBase_x,leftThumbIntermediateBase_y,leftThumbIntermediateBase_z,leftThumbIntermediateTip_x,leftThumbIntermediateTip_y,leftThumbIntermediateTip_z,leftThumbKnuckle_x,leftThumbKnuckle_y,leftThumbKnuckle_z,leftThumbTip_x,leftThumbTip_y,leftThumbTip_z,rightArm_x,rightArm_y,rightArm_z,rightForearm_x,rightForearm_y,rightForearm_z,rightHand_x,rightHand_y,rightHand_z,rightIndexFingerIntermediateBase_x,rightIndexFingerIntermediateBase_y,rightIndexFingerIntermediateBase_z,rightIndexFingerIntermediateTip_x,rightIndexFingerIntermediateTip_y,rightIndexFingerIntermediateTip_z,rightIndexFingerKnuckle_x,rightIndexFingerKnuckle_y,rightIndexFingerKnuckle_z,rightIndexFingerMetacarpal_x,rightIndexFingerMetacarpal_y,rightIndexFingerMetacarpal_z,rightIndexFingerTip_x,rightIndexFingerTip_y,rightIndexFingerTip_z,rightLittleFingerIntermediateBase_x,rightLittleFingerIntermediateBase_y,rightLittleFingerIntermediateBase_z,rightLittleFingerIntermediateTip_x,rightLittleFingerIntermediateTip_y,rightLittleFingerIntermediateTip_z,rightLittleFingerKnuckle_x,rightLittleFingerKnuckle_y,rightLittleFingerKnuckle_z,rightLittleFingerMetacarpal_x,rightLittleFingerMetacarpal_y,rightLittleFingerMetacarpal_z,rightLittleFingerTip_x,rightLittleFingerTip_y,rightLittleFingerTip_z,rightMiddleFingerIntermediateBase_x,rightMiddleFingerIntermediateBase_y,rightMiddleFingerIntermediateBase_z,rightMiddleFingerIntermediateTip_x,rightMiddleFingerIntermediateTip_y,rightMiddleFingerIntermediateTip_z,rightMiddleFingerKnuckle_x,rightMiddleFingerKnuckle_y,rightMiddleFingerKnuckle_z,rightMiddleFingerMetacarpal_x,rightMiddleFingerMetacarpal_y,rightMiddleFingerMetacarpal_z,rightMiddleFingerTip_x,rightMiddleFingerTip_y,rightMiddleFingerTip_z,rightRingFingerIntermediateBase_x,rightRingFingerIntermediateBase_y,rightRingFingerIntermediateBase_z,rightRingFingerIntermediateTip_x,rightRingFingerIntermediateTip_y,rightRingFingerIntermediateTip_z,rightRingFingerKnuckle_x,rightRingFingerKnuckle_y,rightRingFingerKnuckle_z,rightRingFingerMetacarpal_x,rightRingFingerMetacarpal_y,rightRingFingerMetacarpal_z,rightRingFingerTip_x,rightRingFingerTip_y,rightRingFingerTip_z,rightShoulder_x,rightShoulder_y,rightShoulder_z,rightThumbIntermediateBase_x,rightThumbIntermediateBase_y,rightThumbIntermediateBase_z,rightThumbIntermediateTip_x,rightThumbIntermediateTip_y,rightThumbIntermediateTip_z,rightThumbKnuckle_x,rightThumbKnuckle_y,rightThumbKnuckle_z,rightThumbTip_x,rightThumbTip_y,rightThumbTip_z
0,-0.28708267,1.2445943,0.26261368,-0.52792966,1.0855346,0.16419032,-0.43612403,1.2016262,-0.055686764,-0.3865705,1.2162305,-0.18314989,-0.37953258,1.2086897,-0.20528316,-0.3933307,1.2198204,-0.13990536,-0.41608185,1.2139217,-0.07412045,-0.37129253,1.1997457,-0.22392291,-0.44313577,1.1721616,-0.17249061,-0.4359751,1.1568315,-0.18198983,-0.44372255,1.1834185,-0.1405954,-0.44627607,1.1890783,-0.08660024,-0.4264237,1.1392971,-0.18549949,-0.41186762,1.2065023,-0.19247594,-0.39739102,1.1877276,-0.20910859,-0.4112843,1.208016,-0.1428381,-0.4246166,1.2078123,-0.079152495,-0.38308144,1.1703827,-0.21321864,-0.42687115,1.1903439,-0.18793748,-0.41520563,1.1693649,-0.20053846,-0.4270925,1.1955624,-0.14600886,-0.43377757,1.1995599,-0.083561815,-0.4041175,1.1503875,-0.2032305,-0.17972037,1.2931665,0.15559936,-0.36210674,1.1986766,-0.09490713,-0.33554208,1.1916435,-0.11156441,-0.40861428,1.2064923,-0.071479276,-0.30915254,1.1876631,-0.12442922,0.010943357,1.2363129,0.04563537,0.029375436,1.1217625,-0.23638041,-0.15688713,1.3029063,-0.28876972,-0.2716676,1.3502603,-0.33701602,-0.29203492,1.3371842,-0.34025133,-0.2332048,1.3544143,-0.3162306,-0.17884895,1.3229247,-0.2856706,-0.30756462,1.3213205,-0.33866823,-0.23794305,1.3110827,-0.37318802,-0.25293225,1.2987666,-0.3727864,-0.20867714,1.317001,-0.35728696,-0.17210434,1.3016609,-0.32012317,-0.26474923,1.2832654,-0.3672122,-0.267668,1.3425891,-0.3589047,-0.29270414,1.3287069,-0.36328432,-0.22586435,1.343172,-0.33209684,-0.17756653,1.3183106,-0.29627958,-0.31180122,1.3163295,-0.36543003,-0.25744072,1.3267214,-0.36692953,-0.27587953,1.3071207,-0.36364332,-0.2201948,1.3314321,-0.34754294,-0.1761215,1.3114256,-0.30732378,-0.28558895,1.2887049,-0.35609886,-0.121450044,1.2924235,0.113918595,-0.23661575,1.3137268,-0.2907786,-0.26650122,1.3091086,-0.30164787,-0.18504523,1.3157815,-0.28033072,-0.29567695,1.3078469,-0.30664185
1,-0.28708267,1.2445943,0.26261368,-0.52792966,1.0855346,0.16419032,-0.43612403,1.2016262,-0.055686764,-0.3865705,1.2162305,-0.18314989,-0.37953258,1.2086897,-0.20528316,-0.3933307,1.2198204,-0.13990536,-0.41608185,1.2139217,-0.07412045,-0.37129253,1.1997457,-0.22392291,-0.44313577,1.1721616,-0.17249061,-0.4359751,1.1568315,-0.18198983,-0.44372255,1.1834185,-0.1405954,-0.44627607,1.1890783,-0.08660024,-0.4264237,1.1392971,-0.18549949,-0.41186762,1.2065023,-0.19247594,-0.39739102,1.1877276,-0.20910859,-0.4112843,1.208016,-0.1428381,-0.4246166,1.2078123,-0.079152495,-0.38308144,1.1703827,-0.21321864,-0.42687115,1.1903439,-0.18793748,-0.41520563,1.1693649,-0.20053846,-0.4270925,1.1955624,-0.14600886,-0.43377757,1.1995599,-0.083561815,-0.4041175,1.1503875,-0.2032305,-0.17972037,1.2931665,0.15559936,-0.36210674,1.1986766,-0.09490713,-0.33554208,1.1916435,-0.11156441,-0.40861428,1.2064923,-0.071479276,-0.30915254,1.1876631,-0.12442922,0.010943357,1.2363129,0.04563537,0.029375436,1.1217625,-0.23638041,-0.15688713,1.3029063,-0.28876972,-0.2716676,1.3502603,-0.33701602,-0.29203492,1.3371842,-0.34025133,-0.2332048,1.3544143,-0.3162306,-0.17884895,1.3229247,-0.2856706,-0.30756462,1.3213205,-0.33866823,-0.23794305,1.3110827,-0.37318802,-0.25293225,1.2987666,-0.3727864,-0.20867714,1.317001,-0.35728696,-0.17210434,1.3016609,-0.32012317,-0.26474923,1.2832654,-0.3672122,-0.267668,1.3425891,-0.3589047,-0.29270414,1.3287069,-0.36328432,-0.22586435,1.343172,-0.33209684,-0.17756653,1.3183106,-0.29627958,-0.31180122,1.3163295,-0.36543003,-0.25744072,1.3267214,-0.36692953,-0.27587953,1.3071207,-0.36364332,-0.2201948,1.3314321,-0.34754294,-0.1761215,1.3114256,-0.30732378,-0.28558895,1.2887049,-0.35609886,-0.121450044,1.2924235,0.113918595,-0.23661575,1.3137268,-0.2907786,-0.26650122,1.3091086,-0.30164787,-0.18504523,1.3157815,-0.28033072,-0.29567695,1.3078469,-0.30664185
2,-0.28795916,1.2445744,0.26342466,-0.52836996,1.0854245,0.16408405,-0.4361961,1.2016017,-0.0555939,-0.38671076,1.2165084,-0.18306215,-0.37966618,1.2090312,-0.20521493,-0.3934628,1.2199785,-0.13980654,-0.41617766,1.2139454,-0.07402126,-0.3714257,1.2001371,-0.22387834,-0.44321454,1.172368,-0.17245308,-0.43604794,1.157084,-0.18202174,-0.44381744,1.183537,-0.14052723,-0.44635808,1.1890953,-0.086520866,-0.42648286,1.1395725,-0.18560775,-0.4120018,1.2067419,-0.19239138,-0.3976488,1.1883707,-0.20957266,-0.41141626,1.2081546,-0.14275055,-0.42471036,1.2078366,-0.079057395,-0.38347644,1.1712477,-0.21490662,-0.4269627,1.1905811,-0.1878711,-0.4152809,1.1696533,-0.20054163,-0.42720225,1.1957017,-0.14593048,-0.43386695,1.1995832,-0.083473906,-0.4041759,1.1506975,-0.203315,-0.18061659,1.2931682,0.15640014,-0.36220285,1.1988106,-0.094878376,-0.33563626,1.1918526,-0.111564115,-0.4087016,1.2065184,-0.07139731,-0.30925357,1.1879299,-0.12446072,0.010370636,1.2370348,0.04649643,0.029504307,1.1221807,-0.23534925,-0.15833715,1.301103,-0.2896995,-0.27474588,1.3459387,-0.34169844,-0.2954084,1.3338277,-0.34645915,-0.23707673,1.3477895,-0.31919757,-0.18136941,1.3200064,-0.287498,-0.3116238,1.3185833,-0.3464141,-0.23803487,1.3029463,-0.37579644,-0.252367,1.2898682,-0.37607646,-0.20961134,1.3109334,-0.35928354,-0.17272829,1.2984755,-0.3213562,-0.26368916,1.2737622,-0.3712385,-0.2687152,1.3368595,-0.36447728,-0.2936657,1.324208,-0.37196866,-0.2287792,1.3364317,-0.33495638,-0.17960148,1.3152657,-0.29798067,-0.31288388,1.3128928,-0.3769819,-0.2585207,1.317343,-0.37026462,-0.27630424,1.2970008,-0.36804572,-0.2221432,1.3247277,-0.3500795,-0.17754379,1.3082578,-0.30884913,-0.28584507,1.2781682,-0.36136448,-0.12234741,1.2924504,0.11471729,-0.23944655,1.306867,-0.28679374,-0.2696546,1.2996786,-0.29506496,-0.18731277,1.3126523,-0.2821566,-0.2989325,1.2958972,-0.29756734
3,-0.28859845,1.2448571,0.26359496,-0.5288855,1.0856174,0.16409926,-0.4362801,1.2014809,-0.055562884,-0.38683695,1.216381,-0.18306108,-0.37980244,1.208917,-0.20522153,-0.39356902,1.219812,-0.13979927,-0.4162599,1.2138016,-0.07400363,-0.3715816,1.2000268,-0.22389543,-0.44335592,1.1722928,-0.17242688,-0.43621057,1.1570207,-0.1820304,-0.44395503,1.1834322,-0.14049067,-0.44647554,1.1889839,-0.08648269,-0.42666602,1.1395056,-0.1856533,-0.41213363,1.2066077,-0.19237566,-0.3978021,1.1882257,-0.20956337,-0.4115426,1.2080016,-0.14273438,-0.4248025,1.2077019,-0.079034016,-0.38365173,1.1710856,-0.21490087,-0.42708117,1.1904782,-0.18784676,-0.41542208,1.1695534,-0.2005431,-0.42733103,1.1955757,-0.1459034,-0.43397096,1.1994584,-0.08344425,-0.40433946,1.1505892,-0.20334816,-0.1811359,1.2932705,0.15660912,-0.36232105,1.1986369,-0.09491626,-0.33576414,1.1916772,-0.11161667,-0.40879032,1.2063667,-0.07138411,-0.30938736,1.1877527,-0.12452482,0.009975461,1.2373133,0.046757683,0.028749788,1.120852,-0.23445179,-0.16153304,1.2959088,-0.2927534,-0.27931574,1.3293897,-0.3497206,-0.2988564,1.3155993,-0.35464683,-0.24262843,1.335069,-0.32625863,-0.18592706,1.3131362,-0.29184967,-0.31395823,1.2992512,-0.35458308,-0.2381526,1.288479,-0.38164553,-0.25164604,1.2745482,-0.38226315,-0.21111798,1.2990731,-0.36428872,-0.17474167,1.291192,-0.32468203,-0.26234868,1.2579542,-0.37766975,-0.26991153,1.3240159,-0.37454438,-0.29391345,1.3117914,-0.38518292,-0.23296635,1.3239166,-0.34135413,-0.18350782,1.3081948,-0.30210716,-0.31259727,1.3009045,-0.39259204,-0.25990492,1.3019564,-0.37730303,-0.27692783,1.2809179,-0.375696,-0.22498275,1.3122507,-0.35586095,-0.18062426,1.3010021,-0.3126626,-0.286225,1.2618484,-0.3693514,-0.12285532,1.2925019,0.11494308,-0.24285826,1.2948086,-0.2906545,-0.27214655,1.2844483,-0.29886854,-0.19148064,1.3055465,-0.28641912,-0.30028018,1.2764587,-0.30360383
4,-0.2892943,1.2452145,0.2637991,-0.52943695,1.0858684,0.16412526,-0.43626964,1.2014115,-0.055468015,-0.38679552,1.2163142,-0.18296652,-0.37975946,1.2088658,-0.20513168,-0.39353523,1.2197059,-0.13970278,-0.4162366,1.2137102,-0.07390944,-0.37154976,1.1999826,-0.2238139,-0.44334492,1.1722845,-0.17234416,-0.43620783,1.1570158,-0.18195932,-0.44395998,1.1833932,-0.1403976,-0.44648412,1.1889313,-0.08638836,-0.42667592,1.1394941,-0.1855839,-0.4121019,1.2065383,-0.19228275,-0.397776,1.188134,-0.20945127,-0.4115302,1.2079116,-0.14264064,-0.42478728,1.2076217,-0.078939654,-0.38364053,1.1709709,-0.21475425,-0.42703792,1.1904428,-0.18775521,-0.41538757,1.1695074,-0.2004422,-0.4273211,1.1955152,-0.14580901,-0.43396634,1.1993899,-0.08334995,-0.4043239,1.1505299,-0.2032327,-0.18168473,1.2934552,0.15688308,-0.3623281,1.1985025,-0.09485556,-0.3357772,1.1915333,-0.11156159,-0.4087758,1.2062657,-0.07129185,-0.30940202,1.187601,-0.12447061,0.009536476,1.2375518,0.047144365,0.028416377,1.1180148,-0.23276453,-0.16516402,1.2871691,-0.29730114,-0.28344083,1.3081738,-0.3588474,-0.3017111,1.2927595,-0.3638352,-0.24807878,1.3179117,-0.33469424,-0.19079286,1.3025179,-0.29779682,-0.31560513,1.2753739,-0.3636656,-0.2370873,1.2699975,-0.3897639,-0.24984714,1.2555059,-0.39168817,-0.21231185,1.2827618,-0.3705905,-0.177001,1.2801877,-0.3293527,-0.26041558,1.238529,-0.38835776,-0.2713551,1.3032578,-0.3848283,-0.293705,1.2900661,-0.39767998,-0.2369428,1.3069247,-0.3492067,-0.18769878,1.2973672,-0.30776596,-0.31119466,1.2787449,-0.4070846,-0.2604795,1.2822936,-0.3860638,-0.27996227,1.264223,-0.39143616,-0.22756517,1.2953167,-0.36299142,-0.18396465,1.2899969,-0.31792477,-0.2952682,1.2485324,-0.39457715,-0.12337911,1.2926308,0.11525317,-0.24570954,1.2780201,-0.29603666,-0.27354237,1.2639529,-0.30378625,-0.19592749,1.2947525,-0.29220495,-0.300684,1.2528275,-0.30794752
5,-0.28943884,1.2454472,0.26398906,-0.52947325,1.0859894,0.16423286,-0.4362409,1.2012678,-0.055471927,-0.38692102,1.2162071,-0.18303771,-0.3799123,1.2087805,-0.20521887,-0.39361027,1.2195555,-0.13976277,-0.41622683,1.213557,-0.07394043,-0.37173733,1.1999124,-0.22392346,-0.44346237,1.1722151,-0.17235452,-0.43633905,1.156948,-0.18198238,-0.44405404,1.1832867,-0.1403946,-0.4465109,1.188803,-0.08638001,-0.4268045,1.1394267,-0.18560185,-0.4122454,1.20642,-0.19232167,-0.39733776,1.1873561,-0.20822887,-0.41162488,1.2077684,-0.14267947,-0.42478946,1.2074759,-0.078959286,-0.38289753,1.1698864,-0.2111942,-0.42715338,1.1903524,-0.18777631,-0.41551095,1.1694065,-0.20045324,-0.4274149,1.1953955,-0.14582641,-0.43398106,1.1992518,-0.08335783,-0.40445295,1.1504203,-0.20320657,-0.18179548,1.2936087,0.15707134,-0.3623719,1.1983325,-0.09499862,-0.33584568,1.1913713,-0.11174716,-0.40876743,1.2061064,-0.071335934,-0.30948642,1.1874491,-0.12469172,0.009525113,1.2378109,0.047406472,0.028981533,1.1150979,-0.23108506,-0.16776578,1.2780827,-0.30164003,-0.28570822,1.2914153,-0.3660389,-0.30314782,1.2750901,-0.37110117,-0.25138775,1.3034422,-0.34141904,-0.19413523,1.2920595,-0.30304396,-0.31630173,1.2571379,-0.3709312,-0.2365485,1.2552419,-0.39567024,-0.24870475,1.2403378,-0.3982427,-0.2131523,1.2692283,-0.37563622,-0.1785875,1.2696213,-0.33369392,-0.2589302,1.2230338,-0.3955946,-0.27196276,1.288273,-0.3926593,-0.2935085,1.2745535,-0.40630728,-0.23941639,1.2926587,-0.35540277,-0.19058244,1.2868057,-0.31280422,-0.31042224,1.2626486,-0.41603878,-0.26067373,1.2668586,-0.39293507,-0.2795905,1.2485679,-0.39946088,-0.22917995,1.2811792,-0.368679,-0.18627262,1.2793642,-0.32267925,-0.2946824,1.232992,-0.40392894,-0.12348789,1.2927412,0.11544506,-0.24774168,1.264796,-0.3016129,-0.2747046,1.2493043,-0.30971333,-0.19897394,1.2841936,-0.29732993,-0.30150688,1.2373189,-0.31368098
6,-0.29015875,1.2457209,0.2646126,-0.5300191,1.0862403,0.16447523,-0.43622416,1.2011346,-0.0551912,-0.38679343,1.2160707,-0.18272786,-0.3797722,1.2086613,-0.2049108,-0.3935193,1.2193804,-0.13945565,-0.416185,1.2133993,-0.073648654,-0.37159958,1.1998031,-0.22362113,-0.44338694,1.1721548,-0.1720933,-0.43626848,1.156886,-0.18172199,-0.44400555,1.1831876,-0.14012046,-0.44649702,1.1886885,-0.08610591,-0.4267375,1.139358,-0.18531851,-0.41212994,1.2062917,-0.19202922,-0.39720434,1.1869966,-0.207638,-0.41155607,1.207612,-0.14238572,-0.42475358,1.2073307,-0.07867235,-0.38277966,1.1694378,-0.2101123,-0.42703295,1.1902653,-0.18749498,-0.41538784,1.1693028,-0.20014197,-0.4273469,1.1952723,-0.14554115,-0.43395436,1.1991198,-0.08307641,-0.40434176,1.1503031,-0.2028494,-0.18242098,1.293671,0.15769498,-0.3623521,1.1981204,-0.09471115,-0.3358211,1.1911483,-0.11144756,-0.40873694,1.2059382,-0.07104197,-0.30945244,1.18722,-0.12437109,0.0090023,1.2378584,0.048183437,0.028959889,1.1132356,-0.22942306,-0.16970438,1.2712102,-0.30576473,-0.2864961,1.2761087,-0.37362295,-0.3030492,1.258878,-0.37866026,-0.25349241,1.2905813,-0.34852356,-0.19679834,1.2835413,-0.3083205,-0.3154598,1.2404059,-0.37835568,-0.23467387,1.2417104,-0.40073454,-0.2461663,1.226357,-0.4036878,-0.21261312,1.25737,-0.3804253,-0.17920691,1.2609128,-0.33769932,-0.25596246,1.2087435,-0.40149656,-0.2718374,1.2731817,-0.39976227,-0.2922438,1.2585893,-0.41423103,-0.24063337,1.2800651,-0.36174288,-0.19270194,1.2781397,-0.31778246,-0.3082613,1.2461112,-0.42473078,-0.25934833,1.2525935,-0.39945334,-0.2776253,1.2341595,-0.40727124,-0.2294093,1.2686929,-0.37435842,-0.18771991,1.270596,-0.3272556,-0.29239488,1.2187397,-0.41313857,-0.1240882,1.2927455,0.116105296,-0.24848783,1.252998,-0.30836788,-0.27395785,1.2356629,-0.31749934,-0.20131353,1.275626,-0.30241314,-0.3001708,1.2225444,-0.32180533
7,-0.2904393,1.2458783,0.26445717,-0.5303021,1.0863463,0.16440766,-0.43624482,1.2010297,-0.05525678,-0.38683546,1.2160736,-0.18280095,-0.37982246,1.2086986,-0.20499794,-0.39355502,1.2193142,-0.1395225,-0.41620287,1.2132914,-0.073713176,-0.37166938,1.1998664,-0.22372898,-0.44346237,1.1722158,-0.17219485,-0.43635416,1.156955,-0.1818439,-0.44407442,1.1831831,-0.1401994,-0.44654778,1.1886249,-0.08617804,-0.42682818,1.1394256,-0.18544663,-0.41219082,1.2063036,-0.19210276,-0.3972824,1.1870118,-0.20773186,-0.41161367,1.2075608,-0.14245763,-0.4247806,1.2072368,-0.07873813,-0.38287345,1.1694423,-0.21022187,-0.42708334,1.1903151,-0.18757768,-0.41544476,1.1693511,-0.20022811,-0.42740482,1.1952527,-0.14561567,-0.43399245,1.1990399,-0.08314516,-0.40441024,1.1503438,-0.20292854,-0.1825585,1.2936871,0.1576205,-0.36240917,1.1979897,-0.09484712,-0.33588696,1.1910304,-0.11160279,-0.40876123,1.20582,-0.07111792,-0.30952036,1.1871165,-0.12453489,0.009019967,1.2379829,0.04825826,0.029608479,1.1121176,-0.22874087,-0.17072056,1.2666014,-0.307826,-0.28653088,1.2637764,-0.3774931,-0.30217493,1.2456734,-0.38237423,-0.25469735,1.2805222,-0.3522963,-0.19834648,1.277493,-0.31112024,-0.31376597,1.2266803,-0.3818829,-0.23266265,1.2312081,-0.40285948,-0.24337725,1.215275,-0.40566304,-0.21175018,1.2484587,-0.38262478,-0.17922054,1.2549157,-0.33956474,-0.25244048,1.1972922,-0.40332305,-0.271394,1.2606883,-0.403214,-0.2911682,1.244368,-0.4166801,-0.24113825,1.2702758,-0.36501434,-0.19384658,1.2720269,-0.32035926,-0.30661988,1.2304118,-0.42611262,-0.25785267,1.2409369,-0.40228418,-0.27509183,1.2214411,-0.409881,-0.22917145,1.259105,-0.37713268,-0.1883567,1.2644659,-0.32953313,-0.289003,1.2051694,-0.4155417,-0.12421114,1.2926854,0.11605306,-0.24847229,1.2444516,-0.3109708,-0.27092397,1.2247294,-0.32278466,-0.20255575,1.2695396,-0.30504072,-0.2950379,1.2091038,-0.33000374
8,-0.29075983,1.2458106,0.26406905,-0.53065145,1.0861224,0.16433848,-0.4361943,1.2009373,-0.0550855,-0.38669348,1.2161973,-0.18257745,-0.37967125,1.2088727,-0.20478821,-0.39344627,1.2193433,-0.1392972,-0.41613403,1.213215,-0.07351137,-0.37152418,1.2000816,-0.22354122,-0.4433591,1.1723938,-0.1720909,-0.43624425,1.1571424,-0.1817498,-0.4439989,1.1832713,-0.14006533,-0.44650006,1.188604,-0.086034395,-0.42671105,1.1396123,-0.1853298,-0.41206503,1.2064466,-0.19191273,-0.3971554,1.1871611,-0.20754847,-0.411525,1.2076054,-0.14226481,-0.42471635,1.207179,-0.078550965,-0.38275737,1.1695799,-0.21001837,-0.42694566,1.1904927,-0.1874242,-0.41529533,1.1695256,-0.2000586,-0.4273138,1.1953313,-0.14545104,-0.4339351,1.1990002,-0.08297705,-0.40426496,1.1505078,-0.20270205,-0.1828516,1.2936401,0.15726945,-0.36236256,1.1978999,-0.094684325,-0.33583775,1.190962,-0.11144466,-0.40870085,1.2057309,-0.07092848,-0.3094647,1.1870667,-0.12436916,0.0088552,1.23824,0.047899198,0.030215733,1.1115363,-0.228659,-0.17167862,1.2634525,-0.3087319,-0.28627077,1.2542794,-0.37964705,-0.30099493,1.2354312,-0.38456884,-0.2556277,1.2728628,-0.35426325,-0.19970283,1.2731401,-0.31240156,-0.31175458,1.2159538,-0.38412327,-0.2307201,1.2236416,-0.40400004,-0.24064669,1.2072023,-0.40678114,-0.21097681,1.2421826,-0.3837318,-0.17942144,1.2509675,-0.3403599,-0.24896611,1.1888617,-0.40445402,-0.27180585,1.2483101,-0.40312272,-0.290263,1.229369,-0.41492453,-0.2416418,1.2631286,-0.3665565,-0.19490331,1.2677326,-0.32152355,-0.30454436,1.2134483,-0.42299154,-0.25623184,1.2322483,-0.403895,-0.27240202,1.2118356,-0.41143325,-0.22885494,1.2521223,-0.37858045,-0.18902862,1.2602743,-0.3305418,-0.28543365,1.1948315,-0.41703433,-0.124518506,1.2926081,0.1156827,-0.24835454,1.2382742,-0.31349254,-0.2681948,1.2177869,-0.3282995,-0.20363034,1.2651074,-0.3062382,-0.29039776,1.2010719,-0.33856562
9,-0.290796,1.2458082,0.26371375,-0.53078693,1.08607,0.1643025,-0.4361692,1.2008413,-0.055075154,-0.38671035,1.2161624,-0.18258275,-0.37970382,1.2088591,-0.20480548,-0.39344907,1.2192756,-0.13929795,-0.4161107,1.2131141,-0.07350619,-0.37158406,1.2000843,-0.223578,-0.44340363,1.1724243,-0.17210452,-0.4362954,1.1571723,-0.18176745,-0.4440375,1.1832545,-0.14006281,-0.44650897,1.1885413,-0.08602599,-0.4267662,1.139637,-0.18533245,-0.4121109,1.2064288,-0.19191484,-0.3972239,1.1871377,-0.20756537,-0.41155165,1.2075477,-0.14226621,-0.42470235,1.2070901,-0.07854417,-0.38284168,1.1695435,-0.21003507,-0.42697465,1.1905088,-0.18742834,-0.4153355,1.1695273,-0.20004918,-0.42734233,1.1953009,-0.14544988,-0.433932,1.1989235,-0.08296977,-0.40431827,1.1504965,-0.20265439,-0.1828257,1.2936095,0.15696414,-0.3623733,1.1977668,-0.09473883,-0.3358629,1.1908287,-0.111521974,-0.4086827,1.205621,-0.07093442,-0.30950198,1.1869268,-0.124469295,0.008901434,1.2381978,0.047597084,0.0302916,1.1108121,-0.2286454,-0.17259619,1.2616888,-0.30817062,-0.28665477,1.2491906,-0.37942982,-0.30088413,1.2299676,-0.3843576,-0.25661027,1.2686871,-0.35401538,-0.2008499,1.2706273,-0.31197867,-0.3111989,1.2102501,-0.3839557,-0.23025449,1.2198464,-0.4034181,-0.23974404,1.2031444,-0.40615946,-0.21107504,1.2390068,-0.3831846,-0.17991212,1.2488374,-0.3397534,-0.24762508,1.1846116,-0.40383005,-0.2717053,1.239372,-0.40097964,-0.28792527,1.2163532,-0.40774375,-0.24234055,1.2592545,-0.36620966,-0.19588292,1.2652969,-0.32105628,-0.30006224,1.1972252,-0.41079667,-0.2559633,1.2278136,-0.4034785,-0.27153003,1.2068866,-0.410876,-0.22922117,1.2485093,-0.3781439,-0.18978836,1.2579448,-0.3300157,-0.28404894,1.1894519,-0.4163205,-0.12449897,1.2925136,0.11537006,-0.24856654,1.2345111,-0.313117,-0.2673737,1.2137512,-0.32886273,-0.20458783,1.2625289,-0.30578354,-0.2875964,1.1960387,-0.34131533
