frame,leftArm_x,leftArm_y,leftArm_z,leftForearm_x,leftForearm_y,leftForearm_z,leftHand_x,leftHand_y,leftHand_z,leftIndexFingerIntermediateBase_x,leftIndexFingerIntermediateBase_y,leftIndexFingerIntermediateBase_z,leftIndexFingerIntermediateTip_x,leftIndexFingerIntermediateTip_y,leftIndexFingerIntermediateTip_z,leftIndexFingerKnuckle_x,leftIndexFingerKnuckle_y,leftIndexFingerKnuckle_z,leftIndexFingerMetacarpal_x,leftIndexFingerMetacarpal_y,leftIndexFingerMetacarpal_z,leftIndexFingerTip_x,leftIndexFingerTip_y,leftIndexFingerTip_z,leftLittleFingerIntermediateBase_x,leftLittleFingerIntermediateBase_y,leftLittleFingerIntermediateBase_z,leftLittleFingerIntermediateTip_x,leftLittleFingerIntermediateTip_y,leftLittleFingerIntermediateTip_z,leftLittleFingerKnuckle_x,leftLittleFingerKnuckle_y,leftLittleFingerKnuckle_z,leftLittleFingerMetacarpal_x,leftLittleFingerMetacarpal_y,leftLittleFingerMetacarpal_z,leftLittleFingerTip_x,leftLittleFingerTip_y,leftLittleFingerTip_z,leftMiddleFingerIntermediateBase_x,leftMiddleFingerIntermediateBase_y,leftMiddleFingerIntermediateBase_z,leftMiddleFingerIntermediateTip_x,leftMiddleFingerIntermediateTip_y,leftMiddleFingerIntermediateTip_z,leftMiddleFingerKnuckle_x,leftMiddleFingerKnuckle_y,leftMiddleFingerKnuckle_z,leftMiddleFingerMetacarpal_x,leftMiddleFingerMetacarpal_y,leftMiddleFingerMetacarpal_z,leftMiddleFingerTip_x,leftMiddleFingerTip_y,leftMiddleFingerTip_z,leftRingFingerIntermediateBase_x,leftRingFingerIntermediateBase_y,leftRingFingerIntermediateBase_z,leftRingFingerIntermediateTip_x,leftRingFingerIntermediateTip_y,leftRingFingerIntermediateTip_z,leftRingFingerKnuckle_x,leftRingFingerKnuckle_y,leftRingFingerKnuckle_z,leftRingFingerMetacarpal_x,leftRingFingerMetacarpal_y,leftRingFingerMetacarpal_z,leftRingFingerTip_x,leftRingFingerTip_y,leftRingFingerTip_z,leftShoulder_x,leftShoulder_y,leftShoulder_z,leftThumbIntermediateBase_x,leftThumbIntermediateBase_y,leftThumbIntermediateBase_z,leftThumbIntermediateTip_x,leftThumbIntermediateTip_y,leftThumbIntermediateTip_z,leftThumbKnuckle_x,leftThumbKnuckle_y,leftThumbKnuckle_z,leftThumbTip_x,leftThumbTip_y,leftThumbTip_z,rightArm_x,rightArm_y,rightArm_z,rightForearm_x,rightForearm_y,rightForearm_z,rightHand_x,rightHand_y,rightHand_z,rightIndexFingerIntermediateBase_x,rightIndexFingerIntermediateBase_y,rightIndexFingerIntermediateBase_z,rightIndexFingerIntermediateTip_x,rightIndexFingerIntermediateTip_y,rightIndexFingerIntermediateTip_z,rightIndexFingerKnuckle_x,rightIndexFingerKnuckle_y,rightIndexFingerKnuckle_z,rightIndexFingerMetacarpal_x,rightIndexFingerMetacarpal_y,rightIndexFingerMetacarpal_z,rightIndexFingerTip_x,rightIndexFingerTip_y,rightIndexFingerTip_z,rightLittleFingerIntermediateBase_x,rightLittleFingerIntermediateBase_y,rightLittleFingerIntermediateBase_z,rightLittleFingerIntermediateTip_x,rightLittleFingerIntermediateTip_y,rightLittleFingerIntermediateTip_z,rightLittleFingerKnuckle_x,rightLittleFingerKnuckle_y,rightLittleFingerKnuckle_z,rightLittleFingerMetacarpal_x,rightLittleFingerMetacarpal_y,rightLittleFingerMetacarpal_z,rightLittleFingerTip_x,rightLittleFingerTip_y,rightLittleFingerTip_z,rightMiddleFingerIntermediateBase_x,rightMiddleFingerIntermediateBase_y,rightMiddleFingerIntermediateBase_z,rightMiddleFingerIntermediateTip_x,rightMiddleFingerIntermediateTip_y,rightMiddleFingerIntermediateTip_z,rightMiddleFingerKnuckle_x,rightMiddleFingerKnuckle_y,rightMiddleFingerKnuckle_z,rightMiddleFingerMetacarpal_x,rightMiddleFingerMetacarpal_y,rightMiddleFingerMetacarpal_z,rightMiddleFingerTip_x,rightMiddleFingerTip_y,rightMiddleFingerTip_z,rightRingFingerIntermediateBase_x,rightRingFingerIntermediateBase_y,rightRingFingerIntermediateBase_z,rightRingFingerIntermediateTip_x,rightRingFingerIntermediateTip_y,rightRingFingerIntermediateTip_z,rightRingFingerKnuckle_x,rightRingFingerKnuckle_y,rightRingFingerKnuckle_z,rightRingFingerMetacarpal_x,rightRingFingerMetacarpal_y,rightRingFingerMetacarpal_z,rightRingFingerTip_x,rightRingFingerTip_y,rightRingFingerTip_z,rightShoulder_x,rightShoulder_y,rightShoulder_z,rightThumbIntermediateBase_x,rightThumbIntermediateBase_y,rightThumbIntermediateBase_z,rightThumbIntermediateTip_x,rightThumbIntermediateTip_y,rightThumbIntermediateTip_z,rightThumbKnuckle_x,rightThumbKnuckle_y,rightThumbKnuckle_z,rightThumbTip_x,rightThumbTip_y,rightThumbTip_z
0,-0.18580554,0.85296595,-0.19935809,-0.3498029,0.7044201,-0.40919992,-0.36307964,0.80643076,-0.6534726,-0.4086836,0.8395552,-0.7606192,-0.39110363,0.8386716,-0.7761945,-0.4144549,0.8438602,-0.7197945,-0.37913257,0.8272111,-0.6677258,-0.37183335,0.8386473,-0.7852943,-0.39296558,0.7855191,-0.7555414,-0.3795142,0.78985655,-0.76617694,-0.39686757,0.7829776,-0.7241871,-0.37341914,0.7891299,-0.6819319,-0.36285084,0.79492754,-0.7736282,-0.41041955,0.815139,-0.76981264,-0.38591346,0.81956387,-0.78175956,-0.41121238,0.82189703,-0.72410536,-0.37910908,0.8165861,-0.67247933,-0.36468908,0.82475805,-0.7833708,-0.40686414,0.79903936,-0.76743937,-0.38538724,0.80245537,-0.78086567,-0.40576097,0.80155337,-0.72720104,-0.37717763,0.8047167,-0.67766154,-0.36530134,0.8059107,-0.7866673,-0.050717536,0.9264139,-0.24052435,-0.36129704,0.8633383,-0.7101234,-0.35873154,0.872012,-0.7395532,-0.3701612,0.83194405,-0.6716052,-0.3561838,0.87603706,-0.7673298,0.16755764,0.8752645,-0.22230889,0.34287223,0.71341765,-0.41221678,0.3729528,0.80326563,-0.6597529,0.37575933,0.87441266,-0.762597,0.37284386,0.86590964,-0.7843139,0.3717604,0.87127876,-0.7214548,0.3627061,0.8271669,-0.67446357,0.3695671,0.85701543,-0.8034007,0.43184206,0.8382774,-0.7477447,0.43078968,0.83344203,-0.7647264,0.4224805,0.8326052,-0.7179963,0.39874825,0.80922836,-0.68245083,0.4273662,0.8256644,-0.78165835,0.40839323,0.8842842,-0.75819325,0.4077346,0.88354784,-0.78579545,0.39134797,0.8607047,-0.72229177,0.37347648,0.82369095,-0.67718446,0.40567908,0.8808733,-0.8074443,0.41894928,0.8613149,-0.7595082,0.4154412,0.8536703,-0.7836421,0.40881965,0.84839207,-0.7226701,0.3848313,0.81803447,-0.6804308,0.41113925,0.8450619,-0.8025215,0.020577092,0.93211955,-0.24474314,0.3447288,0.8225323,-0.729746,0.34650216,0.82480216,-0.7603994,0.35622367,0.8210016,-0.68062013,0.35361254,0.8243122,-0.78766537
1,-0.18580554,0.85296595,-0.19935809,-0.3498029,0.7044201,-0.40919992,-0.36307964,0.80643076,-0.6534726,-0.4086836,0.8395552,-0.7606192,-0.39110363,0.8386716,-0.7761945,-0.4144549,0.8438602,-0.7197945,-0.37913257,0.8272111,-0.6677258,-0.37183335,0.8386473,-0.7852943,-0.39296558,0.7855191,-0.7555414,-0.3795142,0.78985655,-0.76617694,-0.39686757,0.7829776,-0.7241871,-0.37341914,0.7891299,-0.6819319,-0.36285084,0.79492754,-0.7736282,-0.41041955,0.815139,-0.76981264,-0.38591346,0.81956387,-0.78175956,-0.41121238,0.82189703,-0.72410536,-0.37910908,0.8165861,-0.67247933,-0.36468908,0.82475805,-0.7833708,-0.40686414,0.79903936,-0.76743937,-0.38538724,0.80245537,-0.78086567,-0.40576097,0.80155337,-0.72720104,-0.37717763,0.8047167,-0.67766154,-0.36530134,0.8059107,-0.7866673,-0.050717536,0.9264139,-0.24052435,-0.36129704,0.8633383,-0.7101234,-0.35873154,0.872012,-0.7395532,-0.3701612,0.83194405,-0.6716052,-0.3561838,0.87603706,-0.7673298,0.16755764,0.8752645,-0.22230889,0.34287223,0.71341765,-0.41221678,0.3729528,0.80326563,-0.6597529,0.37575933,0.87441266,-0.762597,0.37284386,0.86590964,-0.7843139,0.3717604,0.87127876,-0.7214548,0.3627061,0.8271669,-0.67446357,0.3695671,0.85701543,-0.8034007,0.43184206,0.8382774,-0.7477447,0.43078968,0.83344203,-0.7647264,0.4224805,0.8326052,-0.7179963,0.39874825,0.80922836,-0.68245083,0.4273662,0.8256644,-0.78165835,0.40839323,0.8842842,-0.75819325,0.4077346,0.88354784,-0.78579545,0.39134797,0.8607047,-0.72229177,0.37347648,0.82369095,-0.67718446,0.40567908,0.8808733,-0.8074443,0.41894928,0.8613149,-0.7595082,0.4154412,0.8536703,-0.7836421,0.40881965,0.84839207,-0.7226701,0.3848313,0.81803447,-0.6804308,0.41113925,0.8450619,-0.8025215,0.020577092,0.93211955,-0.24474314,0.3447288,0.8225323,-0.729746,0.34650216,0.82480216,-0.7603994,0.35622367,0.8210016,-0.68062013,0.35361254,0.8243122,-0.78766537
2,-0.18600796,0.8529975,-0.19932123,-0.34998366,0.7044359,-0.40916866,-0.3630705,0.8064366,-0.6534557,-0.40862185,0.83952093,-0.76062125,-0.39104098,0.83859354,-0.77619296,-0.41438952,0.8438946,-0.7198034,-0.3790961,0.8272304,-0.66771984,-0.3717755,0.8385257,-0.7853025,-0.3929596,0.78548187,-0.7555264,-0.37946764,0.7897957,-0.7661201,-0.3968688,0.78299063,-0.72416896,-0.37342575,0.7891369,-0.6819099,-0.36276692,0.79484177,-0.7735042,-0.41036332,0.8151388,-0.7698088,-0.38577235,0.81935817,-0.78165525,-0.41116828,0.8219264,-0.7241062,-0.3790845,0.81660354,-0.6724692,-0.36450186,0.82443297,-0.78301966,-0.40680236,0.79905653,-0.76743126,-0.38527182,0.80245245,-0.78077644,-0.40573967,0.80157626,-0.7271922,-0.37716633,0.8047298,-0.67764634,-0.36515412,0.80588776,-0.786479,-0.050917197,0.92642456,-0.24051563,-0.36131153,0.86341757,-0.71007204,-0.35879716,0.87211967,-0.73949784,-0.37011847,0.83195114,-0.6715996,-0.35630167,0.8761782,-0.7672743,0.16737151,0.8752896,-0.22233878,0.34310064,0.713542,-0.41194767,0.3729959,0.803209,-0.65957177,0.3824305,0.878473,-0.7622667,0.3810523,0.8731219,-0.7851116,0.37505004,0.8700016,-0.72236353,0.36355862,0.8271629,-0.67473155,0.3790933,0.8670504,-0.8054451,0.43381628,0.8348803,-0.7475819,0.43296137,0.8297595,-0.7644909,0.42389092,0.8300812,-0.7178626,0.39914462,0.8080937,-0.6821226,0.42970744,0.82178867,-0.78136635,0.4138719,0.8824625,-0.75726247,0.41469797,0.88232756,-0.7848697,0.39416698,0.8587522,-0.7228387,0.37424904,0.82334304,-0.67730254,0.41375366,0.88018674,-0.8066544,0.42221254,0.8578831,-0.7597405,0.41905922,0.8499084,-0.7838165,0.41098687,0.84600884,-0.72286713,0.3854663,0.81731915,-0.68036085,0.41498518,0.84111005,-0.8026588,0.020377373,0.93211764,-0.24475218,0.34334725,0.8218055,-0.7294545,0.343751,0.82355523,-0.76019055,0.3569571,0.82109,-0.6808532,0.3475744,0.82317936,-0.78810954
3,-0.18624963,0.85310906,-0.19929665,-0.35024732,0.70455414,-0.4091318,-0.36314553,0.80649304,-0.6534547,-0.408652,0.8395221,-0.7606439,-0.39108187,0.8385456,-0.7762247,-0.41440812,0.8439712,-0.7198325,-0.37914267,0.8272995,-0.6677324,-0.37182888,0.8384308,-0.7853603,-0.39304647,0.7854981,-0.75552154,-0.3795172,0.7897871,-0.7660776,-0.39696145,0.78305167,-0.72416127,-0.37351918,0.7891909,-0.68190074,-0.3627811,0.7948066,-0.7733995,-0.41040593,0.8151771,-0.7698201,-0.38580835,0.8193578,-0.7816666,-0.41121092,0.82199985,-0.7241227,-0.37914407,0.81666994,-0.67247593,-0.36453187,0.82440746,-0.7830301,-0.40683782,0.7991208,-0.7674358,-0.38525805,0.8024929,-0.7807074,-0.4058076,0.80164474,-0.7271962,-0.37724042,0.8047909,-0.6776463,-0.36511046,0.80590576,-0.78631705,-0.05113164,0.9264739,-0.24051288,-0.36140227,0.8635322,-0.7100492,-0.3589353,0.87226135,-0.73947096,-0.3701585,0.8320066,-0.67161363,-0.35648972,0.87635267,-0.7672471,0.16716272,0.87533695,-0.22233874,0.34334818,0.7136676,-0.41159067,0.37319985,0.8032309,-0.65925753,0.39040986,0.87891644,-0.7620469,0.3906837,0.875234,-0.7852587,0.37910458,0.8683756,-0.7235816,0.36513698,0.8272252,-0.6751299,0.3901176,0.8707117,-0.8060764,0.4362022,0.8301651,-0.74722433,0.43519282,0.8248768,-0.7640732,0.42588854,0.82634765,-0.717495,0.39984167,0.8062742,-0.6815535,0.4316616,0.81689304,-0.78088665,0.4206233,0.8771031,-0.75786215,0.42234352,0.87608904,-0.78540975,0.39794406,0.8560494,-0.7235424,0.37566024,0.8228284,-0.6774569,0.42193946,0.8733817,-0.8071481,0.4259956,0.8534396,-0.75998443,0.42261228,0.8453392,-0.7839871,0.4138485,0.84272796,-0.72304714,0.3866084,0.816193,-0.68020964,0.41822284,0.83654106,-0.8027586,0.020163873,0.93215215,-0.24475367,0.3448731,0.8205787,-0.72983724,0.34310356,0.8213585,-0.76056486,0.35832575,0.8213273,-0.6811927,0.34330595,0.82087374,-0.78874207
4,-0.18644828,0.8531811,-0.19928025,-0.3504335,0.70458394,-0.40909523,-0.363119,0.8064731,-0.65344995,-0.40858915,0.83944917,-0.76067185,-0.39103532,0.8384351,-0.7762686,-0.41432154,0.84396356,-0.7198643,-0.37909052,0.8272896,-0.6677417,-0.3717963,0.83828634,-0.785433,-0.39301378,0.7854236,-0.7555241,-0.37944776,0.7896868,-0.7660434,-0.39693058,0.7830324,-0.72415984,-0.37350035,0.7891695,-0.68189234,-0.36267865,0.7946781,-0.7733089,-0.4103339,0.8151344,-0.7698356,-0.3857299,0.8192853,-0.78167915,-0.4111418,0.8219914,-0.7241433,-0.37910092,0.8166581,-0.6724808,-0.36444935,0.824318,-0.7830421,-0.40674892,0.79909974,-0.7674459,-0.3851172,0.8024527,-0.7806376,-0.40575692,0.8016316,-0.7272059,-0.3772074,0.80477506,-0.67764556,-0.36494055,0.80584776,-0.78615284,-0.051320985,0.92652214,-0.24050815,-0.36139026,0.86356586,-0.7100233,-0.35896263,0.872325,-0.7394394,-0.37010032,0.83198607,-0.6716218,-0.35655797,0.8764552,-0.76721334,0.16696933,0.8753489,-0.22236893,0.34351793,0.7137538,-0.41134542,0.37347123,0.803153,-0.6590592,0.39618436,0.8753179,-0.763315,0.3960023,0.87128747,-0.7864699,0.38428813,0.8664116,-0.7246155,0.36731574,0.8274494,-0.6753216,0.3949267,0.86653227,-0.80721545,0.43826833,0.8241063,-0.7473085,0.4367992,0.81885177,-0.764134,0.4277679,0.82132983,-0.7175291,0.4002793,0.8037508,-0.6813555,0.43261945,0.81114244,-0.7809268,0.4265684,0.87123954,-0.7589013,0.42804608,0.8696877,-0.7864379,0.40231273,0.85275185,-0.72418356,0.37746415,0.82220715,-0.6775612,0.42729247,0.86672145,-0.8081331,0.43004087,0.84781647,-0.7603874,0.42596763,0.8398986,-0.7843438,0.41706955,0.838437,-0.72336817,0.38786128,0.8146936,-0.68019056,0.4208427,0.8314134,-0.80307287,0.01997507,0.9321856,-0.24475946,0.34684885,0.819655,-0.7299598,0.34525743,0.81896085,-0.7606992,0.36006704,0.8220064,-0.6813021,0.345562,0.8176591,-0.78884953
5,-0.18662213,0.85322064,-0.19930449,-0.35062176,0.7046169,-0.40910354,-0.3632004,0.8064832,-0.6534734,-0.40867516,0.8394228,-0.7607027,-0.39114064,0.8383751,-0.776319,-0.41437438,0.84399265,-0.71989673,-0.37915403,0.8273104,-0.6677695,-0.37191692,0.83819467,-0.7855149,-0.39312392,0.785388,-0.75554425,-0.37952447,0.7896285,-0.7660295,-0.3970354,0.7830482,-0.7241754,-0.37359995,0.7891814,-0.6819102,-0.36272594,0.794595,-0.77324384,-0.41040874,0.8151378,-0.7698582,-0.38580236,0.81925887,-0.7817073,-0.41121203,0.8220192,-0.7241695,-0.3791746,0.8166777,-0.67250574,-0.3645179,0.82427216,-0.78308016,-0.40680382,0.79912055,-0.767467,-0.38512546,0.8024567,-0.7805862,-0.40584505,0.8016537,-0.72722626,-0.37729234,0.8047915,-0.6776674,-0.36492348,0.8058345,-0.78601867,-0.051478393,0.9265338,-0.2405281,-0.36150166,0.8636405,-0.7100129,-0.3591164,0.87243694,-0.7394214,-0.37015986,0.83199763,-0.6716516,-0.35675788,0.8766102,-0.76719284,0.16680768,0.87532765,-0.22239569,0.34375057,0.71380943,-0.411069,0.3739887,0.8029536,-0.6588401,0.40259415,0.8727349,-0.76355934,0.4020747,0.8687164,-0.7867112,0.39009842,0.8649276,-0.7248115,0.3702796,0.8276016,-0.675314,0.4006129,0.86405706,-0.80745494,0.4398376,0.81714827,-0.74750876,0.43784875,0.8119136,-0.76428705,0.42934176,0.81552994,-0.7176424,0.40073955,0.80070657,-0.68109995,0.43298388,0.8044832,-0.781021,0.43151483,0.8621921,-0.76139957,0.43189576,0.85787153,-0.78867674,0.4068952,0.84951675,-0.72440416,0.3798608,0.8213619,-0.6774944,0.4301434,0.8529318,-0.80995053,0.43398842,0.84168077,-0.7606433,0.42922503,0.8339824,-0.7845439,0.4203602,0.8337068,-0.7235307,0.38946494,0.8128342,-0.6800452,0.42338637,0.82585514,-0.80322266,0.019818887,0.9321802,-0.24478146,0.34693736,0.8208123,-0.72922313,0.34385103,0.81987125,-0.759842,0.36253178,0.8228525,-0.6812599,0.34208396,0.8186434,-0.7879418
6,-0.18674776,0.85321987,-0.19930369,-0.35077465,0.7046098,-0.40907696,-0.3632428,0.80645543,-0.6534611,-0.40871948,0.8393622,-0.76070106,-0.39120573,0.83828026,-0.77633834,-0.41437912,0.8439916,-0.71989626,-0.3791749,0.8272954,-0.6677626,-0.37199593,0.83807206,-0.7855627,-0.39319414,0.7853105,-0.75553286,-0.37956786,0.7895229,-0.7659946,-0.39709708,0.7830295,-0.72415864,-0.37365976,0.7891573,-0.6818937,-0.36274707,0.7944594,-0.77317756,-0.41043583,0.81510717,-0.7698485,-0.38582948,0.8191951,-0.78170913,-0.41123545,0.82201505,-0.72416383,-0.3792063,0.8166616,-0.67249614,-0.36454082,0.8241851,-0.78310287,-0.40682033,0.79910433,-0.7674558,-0.38510442,0.80241823,-0.7805184,-0.40588793,0.8016434,-0.7272148,-0.37733617,0.80477214,-0.67765486,-0.36488268,0.80577374,-0.7858909,-0.051592577,0.92650855,-0.24053349,-0.3615692,0.8636886,-0.7099582,-0.35922596,0.87251866,-0.73936,-0.37017587,0.8319725,-0.67164576,-0.35691378,0.8767378,-0.76712835,0.16668548,0.8752515,-0.22244097,0.34430736,0.71404606,-0.41074347,0.37574464,0.8028242,-0.65849674,0.41244134,0.8682092,-0.76351124,0.41234756,0.8638033,-0.7865981,0.39828503,0.8621853,-0.72501695,0.37446246,0.8274075,-0.6754286,0.41120368,0.85888314,-0.8073015,0.44345406,0.80961,-0.74655783,0.44128186,0.80408305,-0.76321924,0.432564,0.8095773,-0.716789,0.40259936,0.797908,-0.6801949,0.43611538,0.7965824,-0.779831,0.4384142,0.852742,-0.7624365,0.43799534,0.8461541,-0.789256,0.41338104,0.84531504,-0.72431,0.38351005,0.8203338,-0.67732346,0.43550673,0.83963764,-0.81002593,0.44007304,0.8340949,-0.76019293,0.4351117,0.8260528,-0.7839396,0.4253274,0.8282697,-0.72310805,0.3923907,0.8109724,-0.6795517,0.42897612,0.8178306,-0.80248123,0.019705435,0.9321388,-0.24479626,0.34937805,0.8232882,-0.7289511,0.34448838,0.8222908,-0.7593324,0.3664435,0.8232355,-0.6814475,0.34103873,0.820903,-0.7872681
7,-0.18684477,0.85325605,-0.19933754,-0.35088703,0.7046448,-0.40909794,-0.36329278,0.80644447,-0.6535044,-0.40877125,0.8393261,-0.76075226,-0.39127466,0.83820957,-0.7764063,-0.41439483,0.84400827,-0.71994853,-0.37920302,0.8272975,-0.66781116,-0.3720757,0.8379719,-0.7856525,-0.39327705,0.78525233,-0.75557035,-0.37962258,0.78943557,-0.76600695,-0.3971769,0.78302675,-0.7241917,-0.37373197,0.7891485,-0.6819302,-0.36277905,0.7943415,-0.77315754,-0.41046807,0.81509835,-0.7698907,-0.38597053,0.8191449,-0.7819883,-0.41127297,0.8220282,-0.72420937,-0.3792468,0.81666213,-0.6725412,-0.3647026,0.8240748,-0.7838376,-0.4068443,0.7991072,-0.7674955,-0.38508996,0.8023961,-0.7805004,-0.4059471,0.8016483,-0.7272538,-0.37739047,0.8047689,-0.67769617,-0.36484942,0.8057269,-0.785817,-0.051675633,0.92651606,-0.24057248,-0.36163974,0.8637508,-0.7099605,-0.3593371,0.8726163,-0.73935485,-0.37019917,0.83196324,-0.67169684,-0.35707164,0.87687707,-0.7671207,0.16659155,0.87520313,-0.22250743,0.3450619,0.7145839,-0.41050828,0.3780207,0.80340874,-0.6580469,0.4219411,0.863365,-0.7635404,0.42217296,0.85851216,-0.7865365,0.40640333,0.8593518,-0.7253178,0.37887725,0.8275226,-0.67566675,0.42127228,0.8532899,-0.80717784,0.4484197,0.80319345,-0.74426985,0.44633725,0.79747427,-0.76087767,0.43670747,0.8046069,-0.71484864,0.40494895,0.7959907,-0.6789275,0.44115657,0.79001385,-0.77750313,0.44666764,0.84603244,-0.7614506,0.44634098,0.8388458,-0.78811705,0.42028615,0.84144264,-0.7237889,0.38744044,0.8197779,-0.6771427,0.44384202,0.83204216,-0.8087935,0.44719943,0.82727325,-0.7585818,0.44231215,0.8190303,-0.7822749,0.43101028,0.8235118,-0.7218338,0.39568228,0.80975425,-0.67889386,0.4361078,0.81083995,-0.8008077,0.019623337,0.9321292,-0.2448417,0.35416195,0.82488424,-0.7294367,0.34951422,0.82346225,-0.75983906,0.37072235,0.8237534,-0.6817681,0.34624654,0.82159346,-0.7877686
8,-0.18688269,0.853343,-0.19937119,-0.35096297,0.70471334,-0.40908885,-0.3633321,0.8064509,-0.653523,-0.40879628,0.83930135,-0.76077974,-0.3912937,0.8381591,-0.7764252,-0.4144099,0.8440281,-0.7199797,-0.37923184,0.8273076,-0.66783625,-0.37208912,0.83790165,-0.78565913,-0.3933331,0.7852073,-0.7555884,-0.37965158,0.7893661,-0.7659993,-0.39722532,0.7830324,-0.7242053,-0.37378,0.78915143,-0.68194354,-0.3627855,0.79424703,-0.7731137,-0.4104725,0.81509477,-0.7699137,-0.38593942,0.81861395,-0.78210384,-0.4112991,0.8220432,-0.72423553,-0.37928092,0.8166708,-0.672563,-0.36459753,0.8230247,-0.7843661,-0.40684307,0.79911387,-0.767516,-0.3850506,0.8023853,-0.78046125,-0.40598467,0.8016574,-0.72727364,-0.37743065,0.804775,-0.6777143,-0.3647918,0.8056963,-0.7857206,-0.051700346,0.9265716,-0.24061865,-0.36169624,0.86382395,-0.7099365,-0.35942197,0.8727317,-0.7393203,-0.3702256,0.83196753,-0.67172337,-0.35719076,0.87704563,-0.7670807,0.16655597,0.8751987,-0.22259238,0.34572688,0.71518236,-0.41044095,0.37979046,0.80460525,-0.65761447,0.43016112,0.85730493,-0.7635878,0.4307437,0.85152316,-0.7863618,0.41337162,0.8560768,-0.725705,0.38234994,0.82823294,-0.67572117,0.43012872,0.8455651,-0.8068135,0.4519557,0.79735154,-0.74223864,0.449877,0.79127324,-0.75871897,0.4397067,0.8004907,-0.7131717,0.40662566,0.795203,-0.67780423,0.44462845,0.7836802,-0.7752629,0.45292494,0.8386972,-0.76078427,0.45238322,0.83038694,-0.78711873,0.42583957,0.83765376,-0.72335774,0.39048043,0.81998235,-0.67686546,0.44966987,0.82288724,-0.80752563,0.4527362,0.8202511,-0.75707465,0.44783786,0.81149477,-0.78058046,0.43544224,0.81909084,-0.7206572,0.39816445,0.8094692,-0.6782429,0.44152978,0.8030967,-0.7989849,0.019599475,0.93216634,-0.24489808,0.35838854,0.8253085,-0.7298632,0.35409215,0.8229183,-0.7602566,0.37410507,0.8247993,-0.68189913,0.3510948,0.82012177,-0.7881389
9,-0.18686014,0.853379,-0.19943087,-0.35091385,0.7046903,-0.4091273,-0.36335456,0.8064254,-0.65355885,-0.4088448,0.8392501,-0.7608079,-0.391342,0.8380914,-0.7764519,-0.41443464,0.8440128,-0.7200088,-0.37925205,0.82728463,-0.6678708,-0.3721362,0.8378226,-0.78568304,-0.39338174,0.78514254,-0.75562036,-0.37967646,0.78928566,-0.7660063,-0.3972651,0.78300804,-0.7242334,-0.37381253,0.78912586,-0.68197554,-0.36279228,0.79415077,-0.7730885,-0.4104823,0.815063,-0.7699408,-0.38593912,0.8185771,-0.78211224,-0.41132885,0.8220238,-0.7242649,-0.37930474,0.81664735,-0.6725965,-0.36459538,0.82298553,-0.78436124,-0.4068406,0.7990954,-0.7675458,-0.3850096,0.8023615,-0.7804273,-0.4060196,0.80163306,-0.72730225,-0.37745845,0.8047507,-0.677747,-0.36473387,0.8056633,-0.7856268,-0.051697616,0.9266474,-0.2406723,-0.36175838,0.86386925,-0.70992357,-0.35951936,0.87282366,-0.73929584,-0.3702455,0.831942,-0.6717602,-0.35732755,0.87719566,-0.7670503,0.1665492,0.8752199,-0.22268823,0.3462615,0.71571934,-0.41045818,0.38123465,0.8058604,-0.6572435,0.4359454,0.8535526,-0.76299787,0.43696168,0.84705704,-0.78556335,0.4182183,0.8542833,-0.7255317,0.38487372,0.82914275,-0.6756108,0.43673876,0.84051895,-0.80584514,0.4545956,0.794426,-0.7404783,0.45266175,0.7880277,-0.7568548,0.44190717,0.798651,-0.71173924,0.40800053,0.79525995,-0.67692524,0.44755772,0.7802235,-0.77334553,0.45696738,0.8344168,-0.7599425,0.45624447,0.8251835,-0.78596324,0.42968592,0.8357488,-0.7226679,0.3927244,0.82059866,-0.67653334,0.45338923,0.8170646,-0.8061122,0.4565681,0.8164099,-0.7555638,0.45185515,0.80715716,-0.7789169,0.4385317,0.8169504,-0.7194937,0.40005267,0.8098061,-0.67766666,0.44567022,0.79847336,-0.79723024,0.019602837,0.932226,-0.24496174,0.36233476,0.8268971,-0.73027056,0.3586488,0.82443386,-0.76073813,0.3765998,0.8259181,-0.6818622,0.35544187,0.82252264,-0.78867185
