frame,leftArm_x,leftArm_y,leftArm_z,leftForearm_x,leftForearm_y,leftForearm_z,leftHand_x,leftHand_y,leftHand_z,leftIndexFingerIntermediateBase_x,leftIndexFingerIntermediateBase_y,leftIndexFingerIntermediateBase_z,leftIndexFingerIntermediateTip_x,leftIndexFingerIntermediateTip_y,leftIndexFingerIntermediateTip_z,leftIndexFingerKnuckle_x,leftIndexFingerKnuckle_y,leftIndexFingerKnuckle_z,leftIndexFingerMetacarpal_x,leftIndexFingerMetacarpal_y,leftIndexFingerMetacarpal_z,leftIndexFingerTip_x,leftIndexFingerTip_y,leftIndexFingerTip_z,leftLittleFingerIntermediateBase_x,leftLittleFingerIntermediateBase_y,leftLittleFingerIntermediateBase_z,leftLittleFingerIntermediateTip_x,leftLittleFingerIntermediateTip_y,leftLittleFingerIntermediateTip_z,leftLittleFingerKnuckle_x,leftLittleFingerKnuckle_y,leftLittleFingerKnuckle_z,leftLittleFingerMetacarpal_x,leftLittleFingerMetacarpal_y,leftLittleFingerMetacarpal_z,leftLittleFingerTip_x,leftLittleFingerTip_y,leftLittleFingerTip_z,leftMiddleFingerIntermediateBase_x,leftMiddleFingerIntermediateBase_y,leftMiddleFingerIntermediateBase_z,leftMiddleFingerIntermediateTip_x,leftMiddleFingerIntermediateTip_y,leftMiddleFingerIntermediateTip_z,leftMiddleFingerKnuckle_x,leftMiddleFingerKnuckle_y,leftMiddleFingerKnuckle_z,leftMiddleFingerMetacarpal_x,leftMiddleFingerMetacarpal_y,leftMiddleFingerMetacarpal_z,leftMiddleFingerTip_x,leftMiddleFingerTip_y,leftMiddleFingerTip_z,leftRingFingerIntermediateBase_x,leftRingFingerIntermediateBase_y,leftRingFingerIntermediateBase_z,leftRingFingerIntermediateTip_x,leftRingFingerIntermediateTip_y,leftRingFingerIntermediateTip_z,leftRingFingerKnuckle_x,leftRingFingerKnuckle_y,leftRingFingerKnuckle_z,leftRingFingerMetacarpal_x,leftRingFingerMetacarpal_y,leftRingFingerMetacarpal_z,leftRingFingerTip_x,leftRingFingerTip_y,leftRingFingerTip_z,leftShoulder_x,leftShoulder_y,leftShoulder_z,leftThumbIntermediateBase_x,leftThumbIntermediateBase_y,leftThumbIntermediateBase_z,leftThumbIntermediateTip_x,leftThumbIntermediateTip_y,leftThumbIntermediateTip_z,leftThumbKnuckle_x,leftThumbKnuckle_y,leftThumbKnuckle_z,leftThumbTip_x,leftThumbTip_y,leftThumbTip_z,rightArm_x,rightArm_y,rightArm_z,rightForearm_x,rightForearm_y,rightForearm_z,rightHand_x,rightHand_y,rightHand_z,rightIndexFingerIntermediateBase_x,rightIndexFingerIntermediateBase_y,rightIndexFingerIntermediateBase_z,rightIndexFingerIntermediateTip_x,rightIndexFingerIntermediateTip_y,rightIndexFingerIntermediateTip_z,rightIndexFingerKnuckle_x,rightIndexFingerKnuckle_y,rightIndexFingerKnuckle_z,rightIndexFingerMetacarpal_x,rightIndexFingerMetacarpal_y,rightIndexFingerMetacarpal_z,rightIndexFingerTip_x,rightIndexFingerTip_y,rightIndexFingerTip_z,rightLittleFingerIntermediateBase_x,rightLittleFingerIntermediateBase_y,rightLittleFingerIntermediateBase_z,rightLittleFingerIntermediateTip_x,rightLittleFingerIntermediateTip_y,rightLittleFingerIntermediateTip_z,rightLittleFingerKnuckle_x,rightLittleFingerKnuckle_y,rightLittleFingerKnuckle_z,rightLittleFingerMetacarpal_x,rightLittleFingerMetacarpal_y,rightLittleFingerMetacarpal_z,rightLittleFingerTip_x,rightLittleFingerTip_y,rightLittleFingerTip_z,rightMiddleFingerIntermediateBase_x,rightMiddleFingerIntermediateBase_y,rightMiddleFingerIntermediateBase_z,rightMiddleFingerIntermediateTip_x,rightMiddleFingerIntermediateTip_y,rightMiddleFingerIntermediateTip_z,rightMiddleFingerKnuckle_x,rightMiddleFingerKnuckle_y,rightMiddleFingerKnuckle_z,rightMiddleFingerMetacarpal_x,rightMiddleFingerMetacarpal_y,rightMiddleFingerMetacarpal_z,rightMiddleFingerTip_x,rightMiddleFingerTip_y,rightMiddleFingerTip_z,rightRingFingerIntermediateBase_x,rightRingFingerIntermediateBase_y,rightRingFingerIntermediateBase_z,rightRingFingerIntermediateTip_x,rightRingFingerIntermediateTip_y,rightRingFingerIntermediateTip_z,rightRingFingerKnuckle_x,rightRingFingerKnuckle_y,rightRingFingerKnuckle_z,rightRingFingerMetacarpal_x,rightRingFingerMetacarpal_y,rightRingFingerMetacarpal_z,rightRingFingerTip_x,rightRingFingerTip_y,rightRingFingerTip_z,rightShoulder_x,rightShoulder_y,rightShoulder_z,rightThumbIntermediateBase_x,rightThumbIntermediateBase_y,rightThumbIntermediateBase_z,rightThumbIntermediateTip_x,rightThumbIntermediateTip_y,rightThumbIntermediateTip_z,rightThumbKnuckle_x,rightThumbKnuckle_y,rightThumbKnuckle_z,rightThumbTip_x,rightThumbTip_y,rightThumbTip_z
0,-0.16606219,0.99632007,0.049811114,-0.3200762,0.7950552,-0.119796,-0.19897847,0.89892876,-0.3314492,-0.18091492,0.8874642,-0.47183323,-0.18130791,0.87430125,-0.49385414,-0.17541467,0.8948932,-0.4268015,-0.18090165,0.90266955,-0.35494184,-0.18088955,0.8598651,-0.5125245,-0.23523317,0.8716808,-0.445329,-0.2375128,0.8614042,-0.4619241,-0.22787601,0.8798534,-0.41247433,-0.21948998,0.88898927,-0.3578431,-0.23937376,0.8493222,-0.4785899,-0.20467152,0.88799435,-0.47502494,-0.20761688,0.8747898,-0.50244075,-0.19352908,0.89053375,-0.42426437,-0.19186509,0.8995806,-0.35733944,-0.20976005,0.8635813,-0.5237346,-0.2159488,0.87892175,-0.46618366,-0.21529026,0.8621226,-0.4889674,-0.21056594,0.88485754,-0.42270446,-0.20394641,0.8947263,-0.35873383,-0.21418783,0.8467281,-0.5065018,-0.027318442,1.0396494,-0.015079113,-0.14894348,0.883679,-0.400062,-0.14973459,0.8742974,-0.43217766,-0.17581305,0.89328897,-0.35293,-0.14708063,0.8672289,-0.46231112,0.19146055,0.9987886,0.023865344,0.35460857,0.8043804,-0.14519864,0.20885019,0.8863239,-0.35084695,0.23239373,0.94509494,-0.4713135,0.21301614,0.9414377,-0.48772913,0.23915076,0.94290715,-0.42589486,0.21447127,0.91192544,-0.36518696,0.19320999,0.93720186,-0.49985072,0.25214675,0.88271254,-0.46564922,0.24821697,0.88306403,-0.48490116,0.24490258,0.88043636,-0.4318455,0.2221309,0.87481976,-0.3809705,0.24161103,0.8831487,-0.5044853,0.25618908,0.92952824,-0.47982606,0.23688322,0.93092346,-0.5034904,0.2433047,0.92162406,-0.43003896,0.21797998,0.90218407,-0.3705049,0.21821445,0.93130106,-0.5188197,0.26067674,0.9086077,-0.47596025,0.24958242,0.90967184,-0.5019896,0.2460343,0.9012833,-0.43489197,0.22015572,0.8905771,-0.3761627,0.23814027,0.9099833,-0.52235234,0.04414022,1.039879,-0.02026324,0.18658157,0.9251511,-0.4188722,0.18139257,0.92605466,-0.4519224,0.2040502,0.91298425,-0.36805326,0.17624779,0.9287278,-0.48244154
1,-0.16606219,0.99632007,0.049811114,-0.3200762,0.7950552,-0.119796,-0.19897847,0.89892876,-0.3314492,-0.18091492,0.8874642,-0.47183323,-0.18130791,0.87430125,-0.49385414,-0.17541467,0.8948932,-0.4268015,-0.18090165,0.90266955,-0.35494184,-0.18088955,0.8598651,-0.5125245,-0.23523317,0.8716808,-0.445329,-0.2375128,0.8614042,-0.4619241,-0.22787601,0.8798534,-0.41247433,-0.21948998,0.88898927,-0.3578431,-0.23937376,0.8493222,-0.4785899,-0.20467152,0.88799435,-0.47502494,-0.20761688,0.8747898,-0.50244075,-0.19352908,0.89053375,-0.42426437,-0.19186509,0.8995806,-0.35733944,-0.20976005,0.8635813,-0.5237346,-0.2159488,0.87892175,-0.46618366,-0.21529026,0.8621226,-0.4889674,-0.21056594,0.88485754,-0.42270446,-0.20394641,0.8947263,-0.35873383,-0.21418783,0.8467281,-0.5065018,-0.027318442,1.0396494,-0.015079113,-0.14894348,0.883679,-0.400062,-0.14973459,0.8742974,-0.43217766,-0.17581305,0.89328897,-0.35293,-0.14708063,0.8672289,-0.46231112,0.19146055,0.9987886,0.023865344,0.35460857,0.8043804,-0.14519864,0.20885019,0.8863239,-0.35084695,0.23239373,0.94509494,-0.4713135,0.21301614,0.9414377,-0.48772913,0.23915076,0.94290715,-0.42589486,0.21447127,0.91192544,-0.36518696,0.19320999,0.93720186,-0.49985072,0.25214675,0.88271254,-0.46564922,0.24821697,0.88306403,-0.48490116,0.24490258,0.88043636,-0.4318455,0.2221309,0.87481976,-0.3809705,0.24161103,0.8831487,-0.5044853,0.25618908,0.92952824,-0.47982606,0.23688322,0.93092346,-0.5034904,0.2433047,0.92162406,-0.43003896,0.21797998,0.90218407,-0.3705049,0.21821445,0.93130106,-0.5188197,0.26067674,0.9086077,-0.47596025,0.24958242,0.90967184,-0.5019896,0.2460343,0.9012833,-0.43489197,0.22015572,0.8905771,-0.3761627,0.23814027,0.9099833,-0.52235234,0.04414022,1.039879,-0.02026324,0.18658157,0.9251511,-0.4188722,0.18139257,0.92605466,-0.4519224,0.2040502,0.91298425,-0.36805326,0.17624779,0.9287278,-0.48244154
2,-0.16605106,0.9963435,0.049830906,-0.31998265,0.7950604,-0.11982943,-0.19889534,0.8989948,-0.33145866,-0.18083258,0.88750756,-0.47184113,-0.18124412,0.8743915,-0.4938897,-0.17534097,0.89496136,-0.42681247,-0.18081631,0.9027276,-0.35495082,-0.18085316,0.8600227,-0.51261246,-0.23526843,0.87182486,-0.44533202,-0.2376157,0.86161774,-0.46196052,-0.22782266,0.8799296,-0.41248044,-0.2194092,0.8890604,-0.35785264,-0.23956294,0.8496394,-0.47869104,-0.20459527,0.888049,-0.47503608,-0.2075385,0.8748459,-0.5024528,-0.19346102,0.8906061,-0.42427462,-0.19178069,0.8996423,-0.35734865,-0.20968254,0.8636412,-0.5237486,-0.21598507,0.8790686,-0.46618977,-0.21541451,0.8623874,-0.48906234,-0.21050696,0.8849311,-0.42271253,-0.20386362,0.89479196,-0.3587432,-0.2143941,0.8471119,-0.5067054,-0.027306005,1.0396808,-0.015051023,-0.14886919,0.8837441,-0.40007624,-0.14966814,0.8743654,-0.43219253,-0.175731,0.8933455,-0.3529381,-0.14701031,0.86729586,-0.46232536,0.19147281,0.9988296,0.02390401,0.3546068,0.8044028,-0.14515209,0.20882165,0.8863003,-0.35079968,0.23665573,0.94676846,-0.47123095,0.22018689,0.9438694,-0.49069148,0.2385338,0.9437892,-0.42539543,0.2141952,0.91207045,-0.36493105,0.20257358,0.94042885,-0.5060242,0.25198206,0.88403577,-0.46567452,0.2479706,0.8844943,-0.4849073,0.24486428,0.88142705,-0.43186796,0.22218674,0.875169,-0.38102582,0.24130759,0.884665,-0.5044715,0.25861368,0.9300029,-0.47875684,0.24145566,0.9313634,-0.50402373,0.24288389,0.92258096,-0.42971885,0.21779016,0.9024062,-0.3703316,0.22510207,0.9319615,-0.521796,0.26031756,0.91010284,-0.47576824,0.24915408,0.91126484,-0.50176376,0.24580033,0.90230393,-0.4347429,0.22006923,0.89086705,-0.37608665,0.2376722,0.91162914,-0.52210325,0.044152904,1.039914,-0.020231387,0.18613498,0.92546433,-0.41848737,0.18090498,0.9266043,-0.45152375,0.20376274,0.9130563,-0.36778185,0.17513336,0.9307006,-0.48177174
3,-0.16602692,0.99636155,0.04993398,-0.3198968,0.79506576,-0.11976736,-0.19885387,0.8990211,-0.33141184,-0.18082017,0.88749546,-0.47179532,-0.1812542,0.8744237,-0.49386978,-0.17532858,0.8949795,-0.42677167,-0.18077746,0.9027435,-0.35490775,-0.18089388,0.8601199,-0.5126429,-0.2353649,0.8719167,-0.44526878,-0.23778112,0.86177665,-0.46192843,-0.22782643,0.879957,-0.4124225,-0.2193754,0.8890886,-0.3578006,-0.23981544,0.8498988,-0.4787201,-0.20459065,0.8880469,-0.47498843,-0.2075394,0.87484443,-0.5024049,-0.19345343,0.89062846,-0.42422882,-0.19174328,0.89966136,-0.35730314,-0.20969011,0.8636436,-0.523702,-0.21608931,0.8791556,-0.46613306,-0.2156114,0.86258835,-0.4890905,-0.21050788,0.8849547,-0.42266047,-0.20382805,0.89481485,-0.3586948,-0.2146767,0.84742945,-0.5068386,-0.027293408,1.039706,-0.014968085,-0.14885026,0.8837637,-0.40004304,-0.14966384,0.87438345,-0.43215853,-0.17569494,0.8933601,-0.35289407,-0.14701076,0.8673078,-0.46229035,0.19149274,0.9988563,0.023947831,0.354597,0.8044116,-0.14511648,0.20876777,0.8862566,-0.35075384,0.23739965,0.94799733,-0.47119242,0.22304434,0.9450815,-0.4922581,0.23708755,0.9445707,-0.42535073,0.213758,0.91210324,-0.36488593,0.20684376,0.9415865,-0.5090654,0.25074786,0.8851498,-0.46598986,0.24646361,0.88562757,-0.48516327,0.24410966,0.88226414,-0.43210828,0.22199379,0.87531185,-0.38110912,0.23954895,0.885777,-0.50464016,0.25801453,0.9307057,-0.47865543,0.24183647,0.93178636,-0.5045739,0.241645,0.9234464,-0.42980283,0.2174069,0.90248525,-0.37033257,0.2262503,0.9321355,-0.52302927,0.25877133,0.9111903,-0.47610226,0.24732344,0.91226864,-0.50197744,0.24478458,0.9030379,-0.43496153,0.21975632,0.8909794,-0.3761259,0.23563403,0.9125282,-0.5222,0.04416466,1.0399408,-0.02016031,0.18504249,0.9255053,-0.41810557,0.17945437,0.92679775,-0.45107767,0.20329252,0.9129863,-0.36764804,0.1729452,0.9322385,-0.4809618
4,-0.16602995,0.9963399,0.04996307,-0.319751,0.79501224,-0.11983522,-0.19879016,0.8990684,-0.33147702,-0.18078819,0.88752365,-0.47186285,-0.18124193,0.8744945,-0.49396208,-0.17529444,0.89503217,-0.42684352,-0.18071754,0.9027861,-0.3549766,-0.18090835,0.8602529,-0.51278293,-0.2354358,0.87203985,-0.44532067,-0.23791774,0.86197126,-0.46201396,-0.2278073,0.8800074,-0.41247746,-0.21931791,0.88913625,-0.35786104,-0.24003462,0.8501977,-0.47886878,-0.20456727,0.888083,-0.47505325,-0.20752043,0.87488425,-0.502471,-0.19342406,0.8906817,-0.42429584,-0.19168423,0.89970523,-0.3573697,-0.209676,0.8636889,-0.5237706,-0.21616878,0.87927914,-0.4661905,-0.21577792,0.8628295,-0.48923397,-0.21048659,0.88500565,-0.42272133,-0.20376995,0.89486027,-0.35875866,-0.21492319,0.84778976,-0.5070871,-0.027305208,1.0397327,-0.014925352,-0.14881065,0.88381606,-0.40012503,-0.14963895,0.8744372,-0.43224058,-0.17563598,0.89340204,-0.35296294,-0.14698935,0.867359,-0.46237212,0.19148509,0.99890065,0.023985356,0.35459676,0.8044621,-0.14507866,0.2087529,0.88628864,-0.3507129,0.23536977,0.94757205,-0.47229376,0.22177264,0.9448799,-0.49388564,0.23475994,0.9442092,-0.42645034,0.21306632,0.91205156,-0.36521584,0.20628995,0.9414427,-0.511368,0.24843185,0.88428956,-0.4667636,0.24370636,0.8844081,-0.48583865,0.2425863,0.8818147,-0.43270397,0.22151518,0.87521195,-0.38121834,0.2363752,0.88415647,-0.5051616,0.25479344,0.9301611,-0.48000556,0.23925076,0.9311337,-0.50631416,0.23950106,0.92316496,-0.43076703,0.2167457,0.9024299,-0.3706354,0.22437638,0.9313686,-0.5253496,0.2558792,0.9101957,-0.47736692,0.24389105,0.9107075,-0.50301385,0.24287434,0.90247554,-0.4358227,0.21914709,0.8908978,-0.37635484,0.2318042,0.91048825,-0.52300185,0.044152685,1.0399731,-0.0201194,0.18305969,0.9267326,-0.41737857,0.17680286,0.9291493,-0.4501668,0.20253438,0.91275084,-0.36777014,0.1696071,0.93556494,-0.47969803
5,-0.16604641,0.9963629,0.049992993,-0.31965366,0.79499495,-0.11986048,-0.19870526,0.89912194,-0.33147448,-0.18069501,0.88757944,-0.47185817,-0.18115963,0.87459105,-0.4939811,-0.17521074,0.89510953,-0.4268413,-0.18063048,0.9028428,-0.35497186,-0.18084387,0.86040854,-0.51284677,-0.23545444,0.8721688,-0.44531566,-0.23799817,0.86217237,-0.46204302,-0.22774222,0.8800662,-0.41247505,-0.2192291,0.8891891,-0.3578613,-0.24019359,0.8505039,-0.47896078,-0.20448564,0.88813865,-0.4750518,-0.20743759,0.87494814,-0.5024737,-0.19334571,0.89075434,-0.42429456,-0.1915966,0.899761,-0.35736635,-0.20959368,0.8637635,-0.5237788,-0.21619062,0.87941945,-0.46618626,-0.21587928,0.8630917,-0.48931742,-0.21041735,0.8850709,-0.42271924,-0.20368163,0.8949148,-0.3587569,-0.21509826,0.8481756,-0.50727737,-0.027323643,1.0397801,-0.01488328,-0.148733,0.8838914,-0.40012977,-0.14956754,0.87451667,-0.43224633,-0.17554815,0.8934593,-0.35295823,-0.14691529,0.8674386,-0.4623777,0.19146825,0.99897194,0.024043659,0.3545674,0.80452794,-0.14502637,0.20869087,0.88624114,-0.3506826,0.23165676,0.94447154,-0.47461638,0.21790771,0.94097,-0.49599493,0.23149309,0.9424129,-0.42869216,0.21210729,0.91168433,-0.36596784,0.2023201,0.93681294,-0.5132258,0.24513343,0.88183475,-0.46772128,0.23982845,0.8813258,-0.4866369,0.240323,0.88019836,-0.4334498,0.22076379,0.8745898,-0.38125458,0.2319335,0.88039166,-0.5057152,0.24795951,0.92624086,-0.48306328,0.23053558,0.9252901,-0.50816643,0.23648842,0.92144215,-0.4325398,0.21580403,0.9019893,-0.3712429,0.21432076,0.9240179,-0.5260301,0.25169334,0.9075029,-0.47925642,0.23891823,0.90704876,-0.5045217,0.24009173,0.9007254,-0.43713614,0.21824995,0.89035445,-0.37673056,0.22623505,0.90602475,-0.5241112,0.04413453,1.0400267,-0.02007337,0.18067393,0.92867285,-0.4164832,0.17360803,0.9329066,-0.4489209,0.20149457,0.91213036,-0.36822763,0.16563815,0.94091374,-0.47785878
6,-0.1660489,0.99642146,0.05008279,-0.31954318,0.7949888,-0.11979615,-0.19865295,0.89912325,-0.33143985,-0.18065038,0.8877603,-0.47179207,-0.1812128,0.8748368,-0.49395072,-0.17512988,0.89521337,-0.42676678,-0.18050699,0.9028407,-0.35488284,-0.18101026,0.8607256,-0.5128714,-0.23596959,0.8723262,-0.4452471,-0.2387008,0.86237514,-0.4619719,-0.22799349,0.88017493,-0.4124579,-0.21914476,0.8893266,-0.35790238,-0.24111007,0.8507788,-0.47891018,-0.20458551,0.88830096,-0.4749882,-0.20766068,0.8751375,-0.5024095,-0.19336815,0.89085865,-0.42424506,-0.19147755,0.8998024,-0.35731226,-0.20992054,0.86397785,-0.523717,-0.21666119,0.87953806,-0.46610814,-0.2166194,0.8632916,-0.48929855,-0.21060747,0.88514775,-0.4226739,-0.2035756,0.8950012,-0.35874495,-0.21607545,0.8484642,-0.5073405,-0.02733404,1.0398675,-0.014791098,-0.14884278,0.8838172,-0.40015242,-0.14984328,0.87458026,-0.43230414,-0.17546181,0.8934348,-0.35288003,-0.14731275,0.86759746,-0.46246815,0.19146581,0.99908197,0.02412706,0.35454547,0.8046625,-0.1449899,0.20866762,0.88623434,-0.35070127,0.22931144,0.9402863,-0.47736928,0.21606612,0.9364395,-0.49900496,0.22781192,0.93966615,-0.4314273,0.21111353,0.9112384,-0.36687174,0.20084575,0.9321075,-0.5165188,0.24080713,0.8784758,-0.46885148,0.23475048,0.8773477,-0.48751286,0.23730156,0.8778938,-0.4343881,0.21967968,0.8738071,-0.38136804,0.2261096,0.8757811,-0.50622284,0.23513164,0.91970843,-0.48661384,0.21365364,0.9158008,-0.5080169,0.23291801,0.919024,-0.43463433,0.21473452,0.90143454,-0.3719962,0.19464575,0.9122738,-0.52250516,0.24650462,0.9035897,-0.481462,0.2326921,0.90225255,-0.50614333,0.23665652,0.8981758,-0.43870273,0.21712479,0.8896693,-0.37722427,0.21921316,0.90053594,-0.5251442,0.04412412,1.0401175,-0.019981232,0.1783992,0.9296248,-0.41585165,0.17046279,0.9348925,-0.44793472,0.20041414,0.9114775,-0.36871603,0.1620617,0.94306064,-0.4767051
7,-0.1660779,0.9965259,0.050076224,-0.3194548,0.7950181,-0.11981952,-0.19861281,0.8991769,-0.33147863,-0.17870213,0.88820183,-0.47119835,-0.1794893,0.8754512,-0.4934501,-0.17354043,0.8967638,-0.42632803,-0.17984289,0.9030881,-0.35439286,-0.17966612,0.86194897,-0.5128103,-0.23682854,0.8753263,-0.446051,-0.24031611,0.8663024,-0.4631568,-0.22791342,0.8821068,-0.4132654,-0.21862026,0.89032304,-0.35863495,-0.24376278,0.85637826,-0.4809561,-0.20317683,0.88682425,-0.4747555,-0.20644231,0.8718918,-0.5012323,-0.19206932,0.89262384,-0.42425576,-0.19080138,0.9002966,-0.35715073,-0.20887333,0.85936546,-0.52174646,-0.21915057,0.8812525,-0.46594352,-0.22125249,0.8649011,-0.48896432,-0.2100663,0.8869951,-0.4230582,-0.20294102,0.89574087,-0.35897866,-0.2224718,0.8500055,-0.5069168,-0.02736803,1.0399863,-0.014798682,-0.1493919,0.88224494,-0.39993218,-0.15120116,0.87291825,-0.4320226,-0.17500848,0.89355356,-0.3524806,-0.14931265,0.8656554,-0.46216756,0.19144328,0.9992331,0.024109531,0.35454243,0.80479616,-0.14496838,0.2086679,0.8861895,-0.35075253,0.22395286,0.9377077,-0.47975752,0.20907772,0.93378836,-0.5002931,0.22249173,0.93725026,-0.43381244,0.20962428,0.91089857,-0.36752215,0.19184889,0.92914957,-0.5157464,0.23660766,0.8746089,-0.46992797,0.22988956,0.87231326,-0.4882528,0.23433946,0.8755898,-0.43537012,0.2186639,0.8734303,-0.3816303,0.22060177,0.86947507,-0.5064974,0.22223169,0.91571206,-0.48827186,0.19654533,0.9100639,-0.50385946,0.22814025,0.91689235,-0.43659082,0.21330762,0.9010968,-0.37260604,0.17452456,0.9051126,-0.5124746,0.24037692,0.8996999,-0.48356894,0.22555085,0.89665943,-0.5074998,0.23260622,0.8958514,-0.4402163,0.21581697,0.88929653,-0.3776975,0.21132171,0.8935104,-0.5257556,0.04409015,1.0402386,-0.019988194,0.17433812,0.930766,-0.4139988,0.16533335,0.9371506,-0.4455932,0.19885053,0.9107827,-0.36888164,0.1558811,0.9462582,-0.4737488
8,-0.166136,0.9966244,0.050108664,-0.31943655,0.7950542,-0.119781926,-0.19853179,0.8991878,-0.33141762,-0.17255977,0.893243,-0.4698673,-0.1724976,0.8803599,-0.4920565,-0.16905157,0.9000913,-0.42454523,-0.17811877,0.90386796,-0.35272664,-0.17190531,0.8665778,-0.5112101,-0.2314068,0.8772039,-0.44826278,-0.23348814,0.86646944,-0.46459195,-0.2246803,0.886055,-0.4154487,-0.21669929,0.89210546,-0.3603302,-0.23535128,0.85471904,-0.48149288,-0.19575293,0.8882644,-0.47445846,-0.19740923,0.8718152,-0.50017506,-0.1874762,0.8963946,-0.42373735,-0.18889746,0.90143675,-0.35638663,-0.19854109,0.8581001,-0.52003115,-0.21298954,0.88152814,-0.46648866,-0.21446356,0.8648607,-0.48933083,-0.20614585,0.8910184,-0.42385358,-0.20094904,0.8972207,-0.35929376,-0.21541314,0.8506047,-0.50781125,-0.027425246,1.0400832,-0.014765364,-0.148892,0.8797852,-0.3980819,-0.1513828,0.86974484,-0.42991027,-0.17358866,0.89415526,-0.3509722,-0.14948523,0.8615999,-0.45982835,0.19140282,0.9993573,0.024113478,0.3545442,0.8049029,-0.14490367,0.20866083,0.8861999,-0.35071987,0.21782038,0.93771386,-0.48089513,0.20334828,0.93354595,-0.5016684,0.21568319,0.9369273,-0.43498096,0.20772204,0.9106216,-0.3679062,0.18646178,0.92856336,-0.51739025,0.2313367,0.87397885,-0.47088873,0.22371,0.87108904,-0.48876846,0.23081146,0.87540144,-0.43627584,0.2178645,0.87335974,-0.38180962,0.21353391,0.86754364,-0.50640535,0.20966826,0.9128562,-0.48816893,0.18255515,0.9051107,-0.49998206,0.22223344,0.91667217,-0.4378222,0.21162952,0.9009093,-0.3729943,0.15994266,0.8985727,-0.5054208,0.23190045,0.8989681,-0.48527497,0.21545795,0.8947414,-0.507936,0.22757706,0.895673,-0.44139904,0.21445824,0.88914686,-0.37800536,0.20004508,0.8905489,-0.52498084,0.04403313,1.040338,-0.01995193,0.17003585,0.93086696,-0.41210473,0.15977168,0.9377817,-0.44319957,0.1969158,0.9099876,-0.36877722,0.14915888,0.94731516,-0.47079512
9,-0.16622926,0.996679,0.050090153,-0.31945845,0.795082,-0.11983302,-0.19839019,0.89917034,-0.3313976,-0.15776232,0.90250516,-0.46703392,-0.15513001,0.8909981,-0.48981547,-0.15927872,0.905805,-0.42120695,-0.17629595,0.9046283,-0.3507554,-0.15229137,0.8784087,-0.50957924,-0.21641919,0.8833758,-0.45153096,-0.21545574,0.8717534,-0.46734846,-0.21519408,0.8918597,-0.41796198,-0.21424389,0.8937389,-0.3619805,-0.21401352,0.85849017,-0.48313424,-0.1784449,0.89316756,-0.47349158,-0.17599107,0.8749136,-0.4978931,-0.1774133,0.90231377,-0.42228103,-0.18676747,0.90251493,-0.35537794,-0.1738008,0.85949105,-0.51635927,-0.19607446,0.88650304,-0.46734336,-0.19385777,0.8685011,-0.48908648,-0.19592398,0.89715916,-0.42443562,-0.19858353,0.89859825,-0.35944092,-0.19180194,0.8531653,-0.5065864,-0.027506566,1.0401378,-0.014758466,-0.1436795,0.88154364,-0.39449695,-0.1419021,0.8733629,-0.42690027,-0.17200528,0.8947851,-0.34913108,-0.13599892,0.86691946,-0.4567108,0.19133045,0.9994344,0.024123805,0.354516,0.8049544,-0.14482135,0.20863126,0.8861299,-0.35068452,0.20851555,0.9364917,-0.48151,0.19363575,0.9309712,-0.5016707,0.20806064,0.93639654,-0.43554172,0.20537403,0.9102752,-0.36797804,0.17657807,0.9245632,-0.5166752,0.22516349,0.8733442,-0.47181162,0.21657647,0.8696797,-0.4891043,0.22666554,0.87537545,-0.43725777,0.21691915,0.87351555,-0.38212243,0.20548977,0.86521804,-0.5059673,0.19553907,0.90893155,-0.48608556,0.16781263,0.89809126,-0.4930423,0.21577628,0.9160927,-0.43868926,0.20956631,0.90075123,-0.37319392,0.14541686,0.88915545,-0.49453634,0.21984977,0.8965804,-0.48650405,0.2007167,0.89007676,-0.50633764,0.22205101,0.89532876,-0.4423652,0.21280624,0.8891193,-0.37826034,0.18340017,0.88397247,-0.5207785,0.043952666,1.0403951,-0.019933345,0.16533886,0.9291793,-0.41037953,0.1536878,0.9359825,-0.44100672,0.19459203,0.90901065,-0.3682698,0.14171132,0.9453371,-0.4681008
